Atleta,Equipe Janela Análise,Posição,Liga,Participação,Defesa,Construção,Participação_percentil,Defesa_percentil,Construção_percentil
Marcelo Alves,Sochi,ZAGUEIRO,RUS,1.39,2.21,-0.0,93.0,98.0,64.0
A. Martynovich,Rubin Kazan',ZAGUEIRO,RUS,0.66,0.56,-0.32,71.0,60.0,50.0
R. Litvinov,Spartak Moskva,ZAGUEIRO,RUS,0.53,-1.07,2.54,69.0,26.0,93.0
V. Drkušić,Sochi,ZAGUEIRO,RUS,0.94,0.44,-1.09,83.0,57.0,31.0
A. Semenov,Akhmat Grozny,ZAGUEIRO,RUS,-1.49,-1.32,2.92,7.0,21.0,95.0
N. Gassama,Baltika,ZAGUEIRO,RUS,0.79,-0.14,-1.25,76.0,50.0,21.0
F. Balbuena,Dinamo Moskva,ZAGUEIRO,RUS,-0.89,-0.82,2.36,26.0,33.0,90.0
S. Eraković,Zenit,ZAGUEIRO,RUS,-0.02,-0.43,0.06,50.0,40.0,67.0
R. Gojković,Orenburg,ZAGUEIRO,RUS,-0.26,1.14,-0.8,40.0,81.0,38.0
N. Alip,Zenit,ZAGUEIRO,RUS,0.84,-1.01,-0.22,81.0,29.0,57.0
E. Morozov,Lokomotiv Moskva,ZAGUEIRO,RUS,-0.47,-0.99,-0.38,36.0,31.0,48.0
N. Kakkoev,Nizhny Novgorod,ZAGUEIRO,RUS,-0.56,1.51,-1.2,33.0,88.0,24.0
Willyan Rocha,CSKA Moskva,ZAGUEIRO,RUS,0.34,1.61,0.16,62.0,90.0,69.0
Moisés,CSKA Moskva,ZAGUEIRO,RUS,1.69,-0.48,0.7,95.0,38.0,71.0
Lucas Fasson,Lokomotiv Moskva,ZAGUEIRO,RUS,-1.1,-2.01,-0.01,21.0,12.0,62.0
A. Duarte,Spartak Moskva,ZAGUEIRO,RUS,1.05,0.18,-1.9,86.0,55.0,10.0
V. Aleksandrov,Nizhny Novgorod,ZAGUEIRO,RUS,-0.69,1.2,-1.31,31.0,83.0,19.0
V. Melekhin,Rostov,ZAGUEIRO,RUS,2.82,0.94,0.86,100.0,74.0,76.0
M. Pérez,Orenburg,ZAGUEIRO,RUS,-0.2,2.02,-1.13,43.0,95.0,29.0
I. Miladinović,Tobol,ZAGUEIRO,RUS,-2.76,-2.11,-1.59,2.0,5.0,17.0
I. Vujačić,Rubin Kazan',ZAGUEIRO,RUS,-0.41,-0.22,-1.66,38.0,48.0,14.0
A. Gritsaenko,Rubin Kazan',ZAGUEIRO,RUS,-0.9,0.92,-0.04,24.0,71.0,60.0
R. Evgenjev,Krylya Sovetov,ZAGUEIRO,RUS,-1.48,-2.09,-0.45,10.0,10.0,45.0
N. Radmanovac,Baltika,ZAGUEIRO,RUS,-0.73,-0.57,1.91,29.0,36.0,86.0
J. Čeliković,Akhmat Grozny,ZAGUEIRO,RUS,0.01,-0.36,-0.3,52.0,43.0,52.0
S. Bozhin,Fakel,ZAGUEIRO,RUS,-1.14,1.12,-0.62,17.0,79.0,40.0
S. Begić,Ural,ZAGUEIRO,RUS,1.23,0.58,-1.76,88.0,62.0,12.0
K. Gotsuk,Nizhny Novgorod,ZAGUEIRO,RUS,0.67,2.59,-0.96,74.0,100.0,36.0
A. Soldatenkov,Krylya Sovetov,ZAGUEIRO,RUS,-1.1,-2.1,-1.18,19.0,7.0,26.0
J. Alonso,Krasnodar,ZAGUEIRO,RUS,1.26,-1.52,1.36,90.0,14.0,79.0
Ahmed Sharahili,Al Ittihad,ZAGUEIRO,SAUD,1.5,-0.75,1.88,87.0,31.0,80.0
Bander Whaeshi,Al Raed,ZAGUEIRO,SAUD,-1.47,-0.17,-1.84,11.0,49.0,15.0
Noor Al Rashidi,Dhamk,ZAGUEIRO,SAUD,0.01,2.74,-1.25,51.0,100.0,29.0
Fahad Al Harbi,Al Fateh,ZAGUEIRO,SAUD,-1.91,-1.53,-2.36,7.0,13.0,4.0
Omar Hawsawi,Al Ittihad,ZAGUEIRO,SAUD,-0.8,-2.5,-2.05,31.0,7.0,7.0
Ahmed Hegazy,Al Ittihad,ZAGUEIRO,SAUD,0.94,-1.38,1.94,80.0,15.0,84.0
Talal Al Absi,Al Hazem,ZAGUEIRO,SAUD,-1.93,-0.06,-1.37,5.0,55.0,24.0
Mohammed Al Fatil,Al Nassr,ZAGUEIRO,SAUD,-0.01,-0.97,3.06,49.0,24.0,96.0
Abdullah Madu,Al Ettifaq,ZAGUEIRO,SAUD,-1.09,-2.53,-0.9,22.0,5.0,38.0
Abdulelah Al Amri,Al Nassr,ZAGUEIRO,SAUD,0.86,1.21,1.09,78.0,80.0,75.0
Luiz Felipe,Al Ittihad,ZAGUEIRO,SAUD,1.78,1.72,-0.13,96.0,91.0,56.0
Ziyad Al Sahafi,Abha,ZAGUEIRO,SAUD,-1.06,-2.98,-0.92,24.0,2.0,36.0
Abdullah Al Fahad,Al Raed,ZAGUEIRO,SAUD,1.09,0.81,-1.83,82.0,71.0,16.0
Ali Lajami,Al Nassr,ZAGUEIRO,SAUD,1.39,1.69,0.05,85.0,89.0,62.0
M. Demiral,Al Ahli,ZAGUEIRO,SAUD,0.32,-1.57,0.82,64.0,11.0,71.0
J. Denayer,Al Fateh,ZAGUEIRO,SAUD,-1.39,-0.8,-1.94,13.0,29.0,11.0
Ó. Duarte,Al Wehda,ZAGUEIRO,SAUD,1.72,-1.0,-1.37,93.0,22.0,25.0
Ahmed Asiri,Al Riyadh,ZAGUEIRO,SAUD,-0.94,-0.08,-1.21,27.0,53.0,31.0
Waleed Al Ahmad,Al Taawon,ZAGUEIRO,SAUD,0.11,0.81,-0.86,55.0,73.0,40.0
Qasem Lajami,Al Fateh,ZAGUEIRO,SAUD,-0.99,1.03,-0.5,25.0,75.0,45.0
D. Arslanagić,Al Riyadh,ZAGUEIRO,SAUD,-1.12,-0.42,-2.24,20.0,42.0,5.0
Awn Al Saluli,Al Taawon,ZAGUEIRO,SAUD,-0.15,-0.81,-0.1,45.0,27.0,58.0
J. El Yamiq,Al Wehda,ZAGUEIRO,SAUD,0.22,1.97,0.7,60.0,93.0,67.0
Mohammed Al Shwirekh,Al Riyadh,ZAGUEIRO,SAUD,-0.17,1.18,-2.0,42.0,78.0,9.0
Sami Al Khaibari,Al Feiha,ZAGUEIRO,SAUD,-0.78,1.33,-2.77,33.0,84.0,2.0
Abdulbasit Hindi,Al Ahli,ZAGUEIRO,SAUD,0.07,-0.72,3.18,53.0,33.0,98.0
Nader Al Sharari,Al Shabab,ZAGUEIRO,SAUD,-0.08,1.11,-0.32,47.0,76.0,47.0
Abdullah Al Hafith,Al Wehda,ZAGUEIRO,SAUD,0.18,-0.7,-1.08,56.0,35.0,35.0
R. Saïss,Al Shabab,ZAGUEIRO,SAUD,0.67,1.23,4.82,65.0,82.0,100.0
Paulo Ricardo,Al Hazem,ZAGUEIRO,SAUD,0.19,1.59,0.89,58.0,85.0,73.0
Makhir Al Rashidi,Al Feiha,ZAGUEIRO,SAUD,-2.72,0.1,-1.79,2.0,56.0,18.0
Saeed Al Rubaie,Al Akhdoud,ZAGUEIRO,SAUD,0.72,1.98,-1.65,71.0,95.0,22.0
M. Loum,Al Raed,ZAGUEIRO,SAUD,0.79,-1.03,0.4,75.0,20.0,65.0
M. Tisserand,Abha,ZAGUEIRO,SAUD,-0.17,-0.83,-0.31,44.0,25.0,49.0
M. Saadane,Al Fateh,ZAGUEIRO,SAUD,1.73,0.76,2.51,95.0,67.0,91.0
Hussain Al Shuwaish,Al Feiha,ZAGUEIRO,SAUD,0.78,-1.13,2.26,73.0,18.0,87.0
Bruno Viana,Al Hazem,ZAGUEIRO,SAUD,-2.22,0.26,0.08,4.0,58.0,64.0
A. Burcă,Al Akhdoud,ZAGUEIRO,SAUD,-0.24,-0.59,-0.52,38.0,40.0,44.0
Aymeric Laporte,Al Nassr,ZAGUEIRO,SAUD,-0.9,-2.36,2.55,29.0,9.0,95.0
F. Chafaï,Dhamk,ZAGUEIRO,SAUD,0.7,-0.15,0.76,67.0,51.0,69.0
A. Bedrane,Dhamk,ZAGUEIRO,SAUD,1.72,2.67,1.1,91.0,98.0,76.0
F. Noguera,Abha,ZAGUEIRO,SAUD,-1.29,0.54,-1.74,16.0,62.0,20.0
O. Gonzalez,Al Raed,ZAGUEIRO,SAUD,-1.16,-0.23,-1.21,18.0,44.0,33.0
Mohammed Al Khabrani,Al Khaleej,ZAGUEIRO,SAUD,-1.56,-1.32,-1.87,9.0,16.0,13.0
Andrei Girotto,Al Taawon,ZAGUEIRO,SAUD,1.63,2.24,2.55,89.0,96.0,93.0
Hassan Kadesh,Al Ittihad,ZAGUEIRO,SAUD,-0.58,-0.61,-0.23,36.0,36.0,53.0
L. López,Al Khaleej,ZAGUEIRO,SAUD,0.71,0.56,-0.27,69.0,64.0,51.0
Roger Ibañez,Al Ahli,ZAGUEIRO,SAUD,2.61,1.63,1.83,100.0,87.0,78.0
K. Koulibaly,Al Hilal,ZAGUEIRO,SAUD,2.36,-0.22,1.9,98.0,47.0,82.0
E. Roco,Al Ta'ee,ZAGUEIRO,SAUD,0.83,0.76,-0.21,76.0,69.0,55.0
S. Kvirkvelia,Al Akhdoud,ZAGUEIRO,SAUD,-1.33,0.52,-0.75,15.0,60.0,42.0
Iago Santos,Al Shabab,ZAGUEIRO,SAUD,1.14,0.61,2.22,84.0,65.0,85.0
R. Bauer,Al Ta'ee,ZAGUEIRO,SAUD,-0.78,-0.23,-1.29,35.0,45.0,27.0
Ali Al Bulayhi,Al Hilal,ZAGUEIRO,SAUD,0.27,-0.6,-0.09,62.0,38.0,60.0
J. Hendry,Al Ettifaq,ZAGUEIRO,SAUD,-0.2,-2.74,2.39,40.0,4.0,89.0
C. Butcher,Motherwell,ZAGUEIRO,SCT,-1.98,-0.98,1.04,7.0,34.0,73.0
L. Balogun,Rangers,ZAGUEIRO,SCT,-0.75,2.0,-1.37,37.0,88.0,24.0
L. de Lucas,AEL,ZAGUEIRO,SCT,1.23,1.81,-0.94,83.0,83.0,39.0
L. Ayina,Ross County,ZAGUEIRO,SCT,0.17,1.93,-0.5,54.0,85.0,51.0
J. Bolton,St. Mirren,ZAGUEIRO,SCT,0.93,0.25,-1.46,78.0,66.0,22.0
T. Sibbick,Hearts,ZAGUEIRO,SCT,0.39,-1.03,-0.16,63.0,27.0,63.0
R. Lamie,Dundee,ZAGUEIRO,SCT,-2.02,0.03,-0.85,5.0,59.0,46.0
P. Hanlon,Hibernian,ZAGUEIRO,SCT,-1.04,-1.26,2.29,22.0,20.0,88.0
S. Rubežić,Aberdeen,ZAGUEIRO,SCT,0.72,2.38,-0.94,73.0,93.0,41.0
A. MacDonald,Aberdeen,ZAGUEIRO,SCT,0.41,-1.02,-1.54,66.0,29.0,17.0
A. Donnelly,Dundee,ZAGUEIRO,SCT,-1.28,-1.04,2.02,17.0,24.0,83.0
W. Nightingale,Ross County,ZAGUEIRO,SCT,1.93,2.91,-1.84,95.0,100.0,5.0
S. Blaney,Motherwell,ZAGUEIRO,SCT,0.0,2.05,-0.97,46.0,90.0,37.0
A. Portales,Dundee,ZAGUEIRO,SCT,0.33,0.47,2.2,61.0,68.0,85.0
R. Taylor,St. Mirren,ZAGUEIRO,SCT,0.61,0.21,-1.27,71.0,61.0,34.0
C. Carter-Vickers,Celtic,ZAGUEIRO,SCT,1.67,-1.66,4.04,90.0,7.0,98.0
R. Jensen,Aberdeen,ZAGUEIRO,SCT,-1.06,-0.21,0.66,20.0,51.0,71.0
R. Bushiri,Hibernian,ZAGUEIRO,SCT,0.97,-2.28,-1.34,80.0,2.0,29.0
J. Wright,Kilmarnock,ZAGUEIRO,SCT,1.64,2.64,-1.65,88.0,95.0,12.0
A. Considine,St. Johnstone,ZAGUEIRO,SCT,-1.82,-1.7,-1.6,10.0,5.0,15.0
J. Souttar,Rangers,ZAGUEIRO,SCT,-0.95,-1.38,2.4,34.0,17.0,90.0
B. Mugabi,Motherwell,ZAGUEIRO,SCT,-1.3,0.59,-2.51,15.0,73.0,2.0
M. Devlin,Livingston,ZAGUEIRO,SCT,-0.46,-1.2,0.0,39.0,22.0,66.0
D. Casey,Motherwell,ZAGUEIRO,SCT,-0.95,-0.39,-0.85,32.0,46.0,44.0
R. McGowan,St. Johnstone,ZAGUEIRO,SCT,0.31,0.24,-1.32,59.0,63.0,32.0
A. Obileye,Livingston,ZAGUEIRO,SCT,0.46,-1.46,-0.45,68.0,15.0,54.0
S. Kingsley,Hearts,ZAGUEIRO,SCT,0.93,-1.59,-0.17,76.0,10.0,61.0
P. McGinn,Motherwell,ZAGUEIRO,SCT,0.26,-0.93,-0.3,56.0,37.0,56.0
C. Goldson,Rangers,ZAGUEIRO,SCT,-2.23,-1.55,3.48,2.0,12.0,95.0
L. Gordon,St. Johnstone,ZAGUEIRO,SCT,0.09,-0.2,-1.65,49.0,54.0,10.0
J. Baldwin,Ross County,ZAGUEIRO,SCT,-0.23,0.6,1.12,44.0,76.0,76.0
K. Rowles,Hearts,ZAGUEIRO,SCT,-1.42,0.51,1.37,12.0,71.0,78.0
R. Leak,Ross County,ZAGUEIRO,SCT,2.05,2.81,-1.36,98.0,98.0,27.0
J. Shaughnessy,Dundee,ZAGUEIRO,SCT,-0.99,-0.99,-1.82,27.0,32.0,7.0
S. Gartenmann,Aberdeen,ZAGUEIRO,SCT,2.21,0.7,2.61,100.0,78.0,93.0
L. Scales,Celtic,ZAGUEIRO,SCT,1.92,-0.36,4.16,93.0,49.0,100.0
W. Fish,Hibernian,ZAGUEIRO,SCT,-0.98,-0.17,0.3,29.0,56.0,68.0
F. Kent,Hearts,ZAGUEIRO,SCT,-1.01,-0.47,1.6,24.0,44.0,80.0
S. Findlay,Kilmarnock,ZAGUEIRO,SCT,-0.45,-0.51,-1.52,41.0,41.0,20.0
M. Fraser,St. Mirren,ZAGUEIRO,SCT,1.54,-0.74,-0.23,85.0,39.0,59.0
A. Gogić,St. Mirren,ZAGUEIRO,SCT,0.16,0.99,-0.64,51.0,80.0,49.0
L. Subotić,Čukarički,ZAGUEIRO,SER,0.59,-1.08,1.89,66.0,19.0,89.0
I. Jeličić,Vojvodina,ZAGUEIRO,SER,-1.22,-0.24,-1.36,21.0,50.0,19.0
N. Stevanović,Napredak Kruševac,ZAGUEIRO,SER,1.12,3.22,-1.41,82.0,98.0,18.0
D. Cvetinović,Mladost Lučani,ZAGUEIRO,SER,-0.33,0.55,-2.37,34.0,66.0,5.0
V. Bakić,Radnički Niš,ZAGUEIRO,SER,0.33,1.68,-2.67,60.0,89.0,2.0
O. Vranješ,Čukarički,ZAGUEIRO,SER,-0.03,-0.19,0.97,45.0,52.0,74.0
U. Ćosić,IMT Novi Beograd,ZAGUEIRO,SER,-1.14,-2.76,4.62,26.0,3.0,98.0
B. Balaž,Železničar Pancevo,ZAGUEIRO,SER,-1.73,2.11,2.09,6.0,94.0,90.0
M. Đorđević,Bačka Topola,ZAGUEIRO,SER,1.42,-0.95,-0.52,89.0,24.0,42.0
S. Obradović,Železničar Pancevo,ZAGUEIRO,SER,1.32,2.31,0.34,87.0,97.0,61.0
S. Purtić,Železničar Pancevo,ZAGUEIRO,SER,0.81,0.4,2.49,71.0,63.0,95.0
J. Ćalušić,Bačka Topola,ZAGUEIRO,SER,0.03,-0.73,4.77,48.0,31.0,100.0
M. Mijailović,Spartak Subotica,ZAGUEIRO,SER,1.47,0.41,-0.79,90.0,65.0,32.0
D. Skoko,Javor Ivanjica,ZAGUEIRO,SER,-0.6,-0.5,-1.22,32.0,40.0,27.0
L. Rosić,Changchun Yatai,ZAGUEIRO,SER,0.82,-0.24,2.85,73.0,48.0,97.0
A. Filipović,Partizan,ZAGUEIRO,SER,-0.1,1.0,-1.31,40.0,79.0,23.0
B. Šerbečić,Radnički Kragujevac,ZAGUEIRO,SER,0.84,0.14,-0.8,74.0,60.0,31.0
S. Korač,Vojvodina,ZAGUEIRO,SER,1.77,0.57,0.37,97.0,68.0,63.0
N. Andrič,Mladost Lučani,ZAGUEIRO,SER,-0.18,-0.29,-2.16,39.0,47.0,8.0
M. Delević,IMT Novi Beograd,ZAGUEIRO,SER,-1.35,-0.83,-0.58,18.0,27.0,37.0
Leandro Pinto,Javor Ivanjica,ZAGUEIRO,SER,-0.08,-0.97,-1.27,42.0,21.0,26.0
F. Damjanović,Konyaspor,ZAGUEIRO,SER,-1.56,-0.96,2.15,11.0,23.0,92.0
S. Tanasijević,New York City,ZAGUEIRO,SER,0.95,1.2,1.55,79.0,84.0,84.0
N. Zecević,Häcken,ZAGUEIRO,SER,0.69,-0.33,-0.56,68.0,44.0,39.0
Omar Fayed,Novi Pazar,ZAGUEIRO,SER,0.15,1.82,1.25,52.0,90.0,82.0
N. Dekovic,Napredak Kruševac,ZAGUEIRO,SER,0.99,3.47,1.23,81.0,100.0,81.0
M. Ilić,Bologna,ZAGUEIRO,SER,1.56,0.3,2.19,94.0,61.0,94.0
N. Djiga,Crvena Zvezda,ZAGUEIRO,SER,0.17,-1.67,1.11,53.0,10.0,77.0
D. Kerkez,Spartak Subotica,ZAGUEIRO,SER,-0.06,0.64,-0.95,44.0,69.0,29.0
B. Kopitović,Javor Ivanjica,ZAGUEIRO,SER,-1.48,-1.97,-2.59,13.0,6.0,3.0
B. Kovačević,Partizan,ZAGUEIRO,SER,0.22,-0.46,-0.43,55.0,42.0,50.0
V. Krstić,Bačka Topola,ZAGUEIRO,SER,0.36,-1.71,0.71,63.0,8.0,69.0
A. Lukić,Voždovac,ZAGUEIRO,SER,1.5,-0.19,-0.5,92.0,53.0,44.0
N. Leković,Mladost Lučani,ZAGUEIRO,SER,-0.28,0.77,-0.53,35.0,73.0,40.0
M. Bogićević,Spartak Subotica,ZAGUEIRO,SER,0.03,-0.67,0.72,47.0,34.0,73.0
M. Obradović,Javor Ivanjica,ZAGUEIRO,SER,-2.29,-0.57,0.59,3.0,37.0,68.0
U. Spajić,Crvena Zvezda,ZAGUEIRO,SER,0.8,-1.33,-1.45,69.0,15.0,16.0
I. Milošević,Mladost Lučani,ZAGUEIRO,SER,0.23,2.07,-2.32,58.0,92.0,6.0
O. Mrsić,Napredak Kruševac,ZAGUEIRO,SER,0.93,0.98,-0.73,77.0,77.0,35.0
I. Milicević,Radnik Surdulica,ZAGUEIRO,SER,-1.68,-1.2,-0.02,8.0,18.0,58.0
G. Antonić,Bačka Topola,ZAGUEIRO,SER,1.76,-0.14,0.39,95.0,55.0,65.0
V. Jovanović,Čukarički,ZAGUEIRO,SER,-1.21,-0.55,0.99,23.0,39.0,76.0
K. Tojčić,Javor Ivanjica,ZAGUEIRO,SER,-0.79,-0.61,-1.47,27.0,35.0,15.0
N. Savić,Voždovac,ZAGUEIRO,SER,-1.77,-0.0,-0.47,5.0,58.0,48.0
M. Mitrović,Radnički Kragujevac,ZAGUEIRO,SER,-1.36,-0.05,-0.29,16.0,56.0,53.0
S. Simović,Radnički Kragujevac,ZAGUEIRO,SER,1.83,0.81,1.58,98.0,74.0,85.0
S. Abubakar,Radnik Surdulica,ZAGUEIRO,SER,0.86,1.02,-1.68,76.0,81.0,11.0
A. Dragović,Crvena Zvezda,ZAGUEIRO,SER,1.31,-2.7,0.04,85.0,5.0,60.0
N. Ćalasan,Spartak Subotica,ZAGUEIRO,SER,0.22,0.92,0.71,56.0,76.0,71.0
J. Marinković,Napredak Kruševac,ZAGUEIRO,SER,0.14,2.2,-0.15,50.0,95.0,56.0
A. Cissé,Novi Pazar,ZAGUEIRO,SER,-0.68,0.74,-0.78,31.0,71.0,34.0
M. Vranjanin,Radnik Surdulica,ZAGUEIRO,SER,-1.58,-0.32,-1.64,10.0,45.0,13.0
S. Marković,Partizan,ZAGUEIRO,SER,-1.29,-1.46,-1.32,19.0,11.0,21.0
Z. Lambulić,IMT Novi Beograd,ZAGUEIRO,SER,-1.16,1.02,-0.48,24.0,82.0,47.0
M. Joksimović,Mladost Lučani,ZAGUEIRO,SER,-2.94,-0.69,-1.28,2.0,32.0,24.0
E. Azemović,Novi Pazar,ZAGUEIRO,SER,1.26,-0.76,-1.83,84.0,29.0,10.0
N. Cirković,Mladost Lučani,ZAGUEIRO,SER,0.34,1.41,-0.5,61.0,85.0,45.0
N. Stojić,Bačka Topola,ZAGUEIRO,SER,1.87,-2.78,1.16,100.0,2.0,79.0
D. Crnomarković,Vojvodina,ZAGUEIRO,SER,-0.69,-1.39,1.6,29.0,13.0,87.0
M. Yamkam,Radnički Niš,ZAGUEIRO,SER,-0.25,-0.93,-0.18,37.0,26.0,55.0
V. Stanković,Železničar Pancevo,ZAGUEIRO,SER,0.59,1.67,0.56,65.0,87.0,66.0
A. Vojnović,Radnički Niš,ZAGUEIRO,SER,-1.42,-1.24,-0.34,15.0,16.0,52.0
Juanpe,Girona,ZAGUEIRO,SPA1,0.3,-0.74,-1.25,57.0,24.0,18.0
E. Bailly,Villarreal,ZAGUEIRO,SPA1,-1.15,-1.78,-2.0,16.0,8.0,8.0
Jorge Meré,Cádiz,ZAGUEIRO,SPA1,-1.99,-0.49,-1.13,8.0,32.0,26.0
Aritz Elustondo,Real Sociedad,ZAGUEIRO,SPA1,0.33,-1.34,-1.39,59.0,15.0,15.0
S. Mitrović,Gent,ZAGUEIRO,SPA1,-1.59,-2.09,-1.17,12.0,4.0,22.0
Jailson,Celta de Vigo,ZAGUEIRO,SPA1,0.97,1.42,0.83,85.0,89.0,73.0
Luis Hernández,Cádiz,ZAGUEIRO,SPA1,-1.98,-1.73,0.44,9.0,9.0,66.0
A. Sedlar,Deportivo Alavés,ZAGUEIRO,SPA1,0.18,-0.09,-1.06,53.0,45.0,30.0
Domingos Duarte,Getafe,ZAGUEIRO,SPA1,-2.53,-2.71,-0.37,3.0,1.0,50.0
Yeray Álvarez,Athletic Bilbao,ZAGUEIRO,SPA1,1.47,0.61,1.17,95.0,72.0,80.0
S. Papastathopoulos,Real Betis,ZAGUEIRO,SPA1,-0.11,2.54,-1.84,43.0,99.0,11.0
Y. Mosquera,Villarreal,ZAGUEIRO,SPA1,0.87,0.56,-1.07,80.0,69.0,28.0
D. Alaba,Real Madrid,ZAGUEIRO,SPA1,1.44,-1.79,2.07,92.0,7.0,91.0
Raúl Torrente,Granada,ZAGUEIRO,SPA1,0.77,0.92,0.69,74.0,80.0,72.0
M. Diakhaby,Valencia,ZAGUEIRO,SPA1,-0.54,2.16,-2.31,27.0,97.0,3.0
A. Mandi,Villarreal,ZAGUEIRO,SPA1,-0.07,0.48,2.99,45.0,66.0,95.0
Íñigo Martínez,Barcelona,ZAGUEIRO,SPA1,1.27,-0.86,5.86,91.0,23.0,100.0
J. Giménez,Atlético Madrid,ZAGUEIRO,SPA1,-0.74,0.15,-1.24,20.0,57.0,19.0
César Azpilicueta,Atlético Madrid,ZAGUEIRO,SPA1,0.1,0.11,1.24,50.0,54.0,81.0
Copete,Mallorca,ZAGUEIRO,SPA1,-2.11,3.22,-1.43,7.0,100.0,14.0
Pau Cubarsí,Barcelona,ZAGUEIRO,SPA1,3.1,1.11,2.25,100.0,85.0,92.0
Miguel Rubio,Granada,ZAGUEIRO,SPA1,-2.24,0.45,-2.19,5.0,64.0,7.0
Kike Salas,Sevilla,ZAGUEIRO,SPA1,-1.52,1.44,0.4,14.0,91.0,65.0
C. Özkacar,Valencia,ZAGUEIRO,SPA1,0.62,-0.25,-0.75,68.0,41.0,41.0
Jorge Herrando,Osasuna,ZAGUEIRO,SPA1,-0.47,0.72,-0.73,32.0,76.0,43.0
Jon Pacheco,Real Sociedad,ZAGUEIRO,SPA1,-0.64,0.15,-0.48,24.0,58.0,49.0
Carlos Domínguez,Celta de Vigo,ZAGUEIRO,SPA1,-0.48,1.13,0.45,31.0,86.0,68.0
S. Savić,Atlético Madrid,ZAGUEIRO,SPA1,0.06,0.89,1.0,49.0,78.0,77.0
Víctor Chust,Cádiz,ZAGUEIRO,SPA1,0.84,0.51,1.27,77.0,68.0,85.0
Nacho,Real Madrid,ZAGUEIRO,SPA1,-1.61,-2.23,-0.24,11.0,3.0,53.0
A. Mumin,Rayo Vallecano,ZAGUEIRO,SPA1,-0.5,-0.33,-1.01,28.0,38.0,31.0
Aridane Hernández,Rayo Vallecano,ZAGUEIRO,SPA1,-0.05,-0.24,-2.29,46.0,42.0,4.0
N. Gudelj,Sevilla,ZAGUEIRO,SPA1,0.69,0.65,-0.07,70.0,74.0,55.0
C. Montes,Almería,ZAGUEIRO,SPA1,-1.11,-1.29,0.56,18.0,16.0,70.0
Gabriel Paulista,Atlético Madrid,ZAGUEIRO,SPA1,0.06,-1.02,-1.16,47.0,20.0,23.0
Raúl Albiol,Villarreal,ZAGUEIRO,SPA1,0.75,-0.19,-0.82,72.0,43.0,38.0
R. Araújo,Barcelona,ZAGUEIRO,SPA1,0.31,-1.14,3.37,58.0,19.0,96.0
Jorge Cuenca,Villarreal,ZAGUEIRO,SPA1,0.26,0.92,-0.65,55.0,81.0,46.0
A. Christensen,Barcelona,ZAGUEIRO,SPA1,0.66,-1.55,0.95,69.0,12.0,74.0
A. Tchouaméni,Real Madrid,ZAGUEIRO,SPA1,0.9,0.86,1.27,81.0,77.0,84.0
David López,Girona,ZAGUEIRO,SPA1,2.27,0.08,-0.86,99.0,53.0,35.0
Chadi Riad,Real Betis,ZAGUEIRO,SPA1,-0.44,0.11,-2.19,34.0,55.0,5.0
C. Starfelt,Celta de Vigo,ZAGUEIRO,SPA1,0.38,1.02,-2.47,61.0,84.0,1.0
M. Nastasić,Mallorca,ZAGUEIRO,SPA1,-1.15,-0.03,-0.65,15.0,49.0,47.0
Antonio Raíllo,Mallorca,ZAGUEIRO,SPA1,-0.17,2.13,-1.19,41.0,96.0,20.0
A. Abqar,Deportivo Alavés,ZAGUEIRO,SPA1,-2.49,-0.48,-1.14,4.0,34.0,24.0
Saúl Coco,Las Palmas,ZAGUEIRO,SPA1,1.02,-0.26,-0.96,86.0,39.0,32.0
L. Badé,Sevilla,ZAGUEIRO,SPA1,0.94,1.34,-0.22,84.0,88.0,54.0
O. Alderete,Getafe,ZAGUEIRO,SPA1,1.05,0.17,2.32,88.0,59.0,93.0
David García,Osasuna,ZAGUEIRO,SPA1,-0.6,0.46,1.24,26.0,65.0,82.0
Rafa Marín,Deportivo Alavés,ZAGUEIRO,SPA1,0.78,-0.52,-0.92,76.0,31.0,34.0
G. González,Mallorca,ZAGUEIRO,SPA1,-0.73,1.63,0.05,22.0,93.0,58.0
Chumi,Almería,ZAGUEIRO,SPA1,-2.78,-0.71,-1.7,1.0,26.0,12.0
Sergio Ramos,Sevilla,ZAGUEIRO,SPA1,0.91,0.65,-0.36,82.0,73.0,51.0
M. Valjent,Mallorca,ZAGUEIRO,SPA1,0.21,-0.6,-0.74,54.0,30.0,42.0
Robin Le Normand,Real Sociedad,ZAGUEIRO,SPA1,1.73,0.29,-0.81,96.0,61.0,39.0
D. Dakonam,Getafe,ZAGUEIRO,SPA1,-0.11,-0.09,-1.12,42.0,46.0,27.0
Fali,Cádiz,ZAGUEIRO,SPA1,-0.7,0.05,0.17,23.0,51.0,62.0
Alejandro Catena,Osasuna,ZAGUEIRO,SPA1,-0.5,-0.01,0.15,30.0,50.0,61.0
Igor Zubeldía,Real Sociedad,ZAGUEIRO,SPA1,0.48,-0.36,0.15,64.0,36.0,59.0
Édgar González,Almería,ZAGUEIRO,SPA1,-0.36,-0.43,-0.82,35.0,35.0,36.0
Hermoso,Atlético Madrid,ZAGUEIRO,SPA1,0.84,-0.69,1.63,78.0,27.0,88.0
Eric García,Girona,ZAGUEIRO,SPA1,1.08,1.51,3.96,89.0,92.0,97.0
A. Rüdiger,Real Madrid,ZAGUEIRO,SPA1,0.77,-2.0,1.67,73.0,5.0,89.0
