Atleta,Equipe Janela Análise,Posição,Liga,Participação,Defesa,Apoio,Ataque,Último passe,Drible,Participação_percentil,Defesa_percentil,Apoio_percentil,Ataque_percentil,ùltimo_passe_percentil,Drible_percentil
Mariano,Atlético Mineiro,LATERAL,BRA1,0.29,-0.52,-0.24,0.21,-1.37,-1.13,60.0,40.0,38.0,62.0,20.0,6.0
Sander,Goiás,LATERAL,BRA1,0.58,0.83,-0.07,0.1,0.21,-0.34,72.0,72.0,51.0,58.0,57.0,52.0
J. Hurtado,Red Bull Bragantino,LATERAL,BRA1,-0.16,-0.22,-0.03,1.93,-1.14,0.05,46.0,49.0,54.0,89.0,29.0,65.0
Marçal,Botafogo,LATERAL,BRA1,0.13,0.89,-1.38,-1.2,-0.72,-0.97,51.0,75.0,9.0,17.0,35.0,14.0
Matheus Bidu,Corinthians,LATERAL,BRA1,0.49,0.51,0.19,0.45,-1.24,0.01,69.0,66.0,65.0,68.0,23.0,62.0
B. Méndez,Corinthians,LATERAL,BRA1,0.01,0.13,-1.45,-1.92,-3.02,-1.34,49.0,62.0,6.0,6.0,2.0,2.0
Fábio Santos,Corinthians,LATERAL,BRA1,-0.2,-0.75,-0.2,-1.09,-1.52,-1.11,43.0,34.0,45.0,25.0,15.0,8.0
Marlon,América Mineiro,LATERAL,BRA1,-0.16,1.99,0.96,-0.46,-1.28,0.78,48.0,92.0,83.0,46.0,22.0,82.0
R. Saravia,Atlético Mineiro,LATERAL,BRA1,1.29,1.88,1.04,-0.65,-1.19,0.39,86.0,89.0,86.0,40.0,26.0,72.0
Gilberto,Bahia,LATERAL,BRA1,0.25,-1.05,1.25,0.42,1.5,0.46,57.0,26.0,88.0,65.0,88.0,75.0
Jamerson,Coritiba,LATERAL,BRA1,-0.83,0.16,0.53,-0.49,-1.52,2.14,22.0,63.0,72.0,45.0,17.0,95.0
Lucas Braga,Santos,LATERAL,BRA1,-2.88,-2.76,0.0,-2.7,-2.12,0.75,3.0,2.0,57.0,2.0,5.0,80.0
Rafinha,São Paulo,LATERAL,BRA1,1.09,-2.29,2.33,1.94,0.35,-1.29,83.0,5.0,97.0,91.0,62.0,3.0
J. Rodríguez,Vasco da Gama,LATERAL,BRA1,-0.54,-0.21,0.14,2.3,1.01,-0.3,32.0,51.0,63.0,95.0,77.0,54.0
T. Cuello,Athletico Paranaense,LATERAL,BRA1,-0.69,-0.06,0.63,0.62,2.03,1.78,28.0,54.0,77.0,72.0,91.0,91.0
João Pedro,Grêmio,LATERAL,BRA1,-1.57,-2.35,0.57,-0.83,-0.41,0.37,8.0,3.0,74.0,35.0,46.0,71.0
Caio Paulista,São Paulo,LATERAL,BRA1,0.38,-1.85,2.63,-0.17,0.75,2.4,63.0,11.0,98.0,51.0,71.0,97.0
Samuel Xavier,Fluminense,LATERAL,BRA1,-0.52,-1.43,-0.04,-1.16,-0.48,-0.57,34.0,18.0,52.0,22.0,42.0,35.0
Fágner,Corinthians,LATERAL,BRA1,0.34,-0.8,0.68,1.64,0.3,-0.4,62.0,32.0,80.0,88.0,60.0,49.0
A. Canobbio,Athletico Paranaense,LATERAL,BRA1,-0.71,-0.54,0.32,-0.16,2.17,1.35,26.0,38.0,66.0,52.0,92.0,88.0
Rikelme,Cuiabá,LATERAL,BRA1,-1.68,-0.19,-1.58,-0.93,-1.15,-0.99,6.0,52.0,5.0,32.0,28.0,12.0
Renê,Internacional,LATERAL,BRA1,1.74,1.49,2.84,1.03,0.69,-0.37,92.0,85.0,100.0,77.0,68.0,51.0
L. Di Plácido,Botafogo,LATERAL,BRA1,0.99,3.87,-0.49,0.64,0.71,0.42,82.0,98.0,32.0,74.0,69.0,74.0
Guilherme Arana,Atlético Mineiro,LATERAL,BRA1,-0.17,-2.22,0.37,-0.01,-0.99,-0.42,45.0,6.0,69.0,54.0,32.0,46.0
Natanael,Coritiba,LATERAL,BRA1,0.6,3.19,-1.09,-1.19,-0.78,-0.14,74.0,97.0,18.0,18.0,34.0,55.0
Mayke,Palmeiras,LATERAL,BRA1,0.15,-1.36,-0.1,1.35,1.53,-0.77,52.0,20.0,48.0,82.0,89.0,23.0
F. Bustos,Internacional,LATERAL,BRA1,0.81,1.21,-1.35,-1.12,-0.67,-0.43,80.0,80.0,11.0,23.0,37.0,45.0
J. Piquerez,Palmeiras,LATERAL,BRA1,-0.61,-1.0,-0.79,0.55,0.87,-0.43,31.0,29.0,26.0,71.0,74.0,43.0
Wesley,Flamengo,LATERAL,BRA1,1.34,0.85,-1.2,-1.05,0.65,0.1,88.0,74.0,15.0,31.0,65.0,66.0
Ayrton Lucas,Flamengo,LATERAL,BRA1,2.16,-0.23,1.94,0.06,-0.11,0.98,98.0,46.0,94.0,57.0,51.0,85.0
Tinga,Fortaleza,LATERAL,BRA1,-0.99,-0.58,-0.32,0.21,-0.6,-0.55,18.0,37.0,37.0,60.0,40.0,37.0
William,Cruzeiro,LATERAL,BRA1,0.27,0.82,0.6,2.44,1.17,0.14,58.0,71.0,75.0,97.0,82.0,69.0
Bruno Pacheco,Fortaleza,LATERAL,BRA1,-0.78,-0.27,-0.22,-0.19,0.18,0.04,25.0,45.0,42.0,49.0,55.0,63.0
Reinaldo,Grêmio,LATERAL,BRA1,-1.4,-1.82,-0.48,0.94,2.89,-0.0,12.0,12.0,34.0,75.0,94.0,60.0
Maguinho,Goiás,LATERAL,BRA1,-0.81,0.04,-1.15,-2.52,-1.75,-0.71,23.0,57.0,17.0,3.0,11.0,28.0
Juninho Capixaba,Red Bull Bragantino,LATERAL,BRA1,1.96,2.52,1.54,2.28,1.07,0.1,94.0,95.0,92.0,94.0,78.0,68.0
Matheus Alexandre,Cuiabá,LATERAL,BRA1,-0.63,0.17,-1.79,-1.4,-1.97,-0.63,29.0,65.0,3.0,12.0,6.0,32.0
Marlon,Cruzeiro,LATERAL,BRA1,0.69,1.94,0.33,0.44,-0.65,-0.84,77.0,91.0,68.0,66.0,38.0,20.0
Lucas Piton,Vasco da Gama,LATERAL,BRA1,-1.04,-1.75,-0.4,2.69,1.26,-0.45,17.0,14.0,35.0,98.0,83.0,40.0
Dani Bolt,Juventude,LATERAL,BRA2,-0.3,-0.2,0.81,0.55,1.26,1.18,39.0,51.0,77.0,69.0,81.0,88.0
Alex Silva,ABC,LATERAL,BRA2,-0.39,0.32,0.01,-1.18,-1.22,0.67,33.0,63.0,56.0,24.0,23.0,77.0
Kauan Richard,Ituano,LATERAL,BRA2,1.69,4.45,-0.42,-0.26,-2.34,-0.87,91.0,100.0,37.0,45.0,4.0,25.0
Felipe Vieira,Londrina,LATERAL,BRA2,0.49,0.72,-0.23,-0.06,-1.85,0.72,69.0,69.0,47.0,52.0,11.0,79.0
Ericson,Botafogo SP,LATERAL,BRA2,-0.3,-0.15,-1.09,-1.55,-1.71,0.99,37.0,52.0,23.0,11.0,13.0,81.0
Roberto,Grêmio Novorizontino,LATERAL,BRA2,-1.39,-2.3,0.23,2.46,0.92,-1.07,12.0,5.0,60.0,99.0,76.0,12.0
Vidal,Botafogo SP,LATERAL,BRA2,-1.91,-2.47,-0.15,-1.88,-1.13,-1.42,7.0,3.0,52.0,7.0,24.0,7.0
Kelvyn,Juventude,LATERAL,BRA2,-0.21,-0.41,1.16,0.45,-0.7,-0.21,44.0,43.0,85.0,67.0,33.0,45.0
Jefferson,Vasco da Gama,LATERAL,BRA2,2.48,-0.2,1.7,2.13,0.85,-1.44,100.0,49.0,92.0,93.0,72.0,5.0
Marcelinho,Vila Nova,LATERAL,BRA2,-0.38,0.84,0.1,1.48,0.61,0.07,35.0,71.0,59.0,81.0,69.0,57.0
Danilo Barcelos,Ceará,LATERAL,BRA2,-0.06,0.27,-0.48,-1.13,-0.78,-1.33,47.0,61.0,35.0,25.0,31.0,8.0
Eduardo,Sport Recife,LATERAL,BRA2,1.85,-0.42,2.51,3.15,0.23,-0.1,95.0,41.0,97.0,100.0,57.0,48.0
Jean Victor,Botafogo SP,LATERAL,BRA2,-1.97,-1.63,-1.18,-1.25,-0.69,-1.61,5.0,16.0,20.0,20.0,35.0,3.0
Igor Cariús,Sport Recife,LATERAL,BRA2,-1.23,-1.41,-1.54,-0.85,1.08,0.44,16.0,23.0,7.0,31.0,80.0,72.0
Edimar,CRB,LATERAL,BRA2,-0.29,-0.47,-1.21,-0.96,-2.0,-0.82,40.0,40.0,19.0,28.0,9.0,29.0
Manoel,Mirassol,LATERAL,BRA2,0.54,-1.31,0.57,0.7,-1.35,-1.25,71.0,27.0,73.0,73.0,17.0,9.0
Léo Tocantins,Grêmio Novorizontino,LATERAL,BRA2,0.08,1.3,0.77,2.27,1.94,1.05,53.0,79.0,76.0,96.0,92.0,84.0
Pará,Sampaio Corrêa,LATERAL,BRA2,0.32,-0.41,0.9,1.55,0.91,0.65,67.0,44.0,80.0,83.0,75.0,76.0
Jhonnathan,Santos B,LATERAL,BRA2,-0.87,1.92,-1.75,-2.99,-2.76,-1.78,24.0,91.0,1.0,1.0,1.0,1.0
Paulo Victor,Ceará,LATERAL,BRA2,-0.46,2.21,-0.73,-1.87,0.24,0.36,32.0,92.0,28.0,8.0,59.0,68.0
Maílton,Ponte Preta,LATERAL,BRA2,-1.61,-1.97,0.5,-1.37,2.27,2.75,9.0,9.0,71.0,16.0,95.0,100.0
Cristovam,Criciúma,LATERAL,BRA2,0.68,2.52,-1.29,-1.92,-2.57,1.11,77.0,95.0,13.0,4.0,3.0,87.0
Marcos Pedro,Londrina,LATERAL,BRA2,0.61,2.43,-1.68,-0.23,0.13,-0.6,73.0,93.0,3.0,47.0,56.0,33.0
Weverton,Red Bull Bragantino,LATERAL,BRA2,-1.48,-1.61,-0.38,1.91,0.53,-1.05,11.0,19.0,40.0,89.0,67.0,15.0
Iury,Ituano,LATERAL,BRA2,2.37,3.37,1.87,1.78,1.66,-1.05,99.0,97.0,95.0,87.0,88.0,13.0
Bruno Cortez,Avaí,LATERAL,BRA2,0.66,1.9,-1.14,-2.76,-1.67,0.34,76.0,89.0,21.0,3.0,15.0,65.0
Felipe Albuquerque,Chapecoense,LATERAL,BRA2,0.19,-0.03,-1.24,-1.3,-0.53,-0.95,57.0,55.0,15.0,17.0,39.0,21.0
Marcelo,Vitória,LATERAL,BRA2,-1.97,0.23,-1.4,-1.24,-0.87,-0.37,4.0,60.0,9.0,21.0,28.0,41.0
Caíque,Ceará,LATERAL,BRA2,1.74,3.37,-0.02,-1.59,-2.03,0.34,92.0,99.0,55.0,9.0,8.0,67.0
Lucas Esteves,Atlético GO,LATERAL,BRA2,-1.06,-1.85,-1.22,-0.54,1.3,0.02,17.0,12.0,16.0,41.0,83.0,53.0
Ronei,Chapecoense,LATERAL,BRA2,0.85,0.71,-0.16,0.45,1.73,0.33,81.0,68.0,51.0,68.0,89.0,64.0
Guilherme Santos,Tombense,LATERAL,BRA2,1.58,-1.03,0.45,0.03,-0.69,-0.6,88.0,29.0,67.0,56.0,36.0,35.0
Kevin,Tombense,LATERAL,BRA2,0.55,-0.54,0.36,1.1,0.03,-0.4,72.0,37.0,63.0,76.0,51.0,37.0
Railan,Vitória,LATERAL,BRA2,-0.35,-0.91,-0.34,-0.74,-0.5,1.3,36.0,32.0,43.0,36.0,40.0,91.0
Rodrigo Soares,Atlético GO,LATERAL,BRA2,-0.27,-1.77,-0.47,1.71,2.35,0.49,43.0,15.0,36.0,85.0,96.0,73.0
Ezequiel,Londrina,LATERAL,BRA2,0.95,0.13,-1.02,-0.75,-1.02,-0.82,83.0,56.0,24.0,35.0,27.0,31.0
Mancha,Chapecoense,LATERAL,BRA2,-1.24,-0.99,-1.48,0.26,-0.4,0.05,15.0,31.0,8.0,61.0,43.0,56.0
Romário,ABC,LATERAL,BRA2,0.22,1.17,-0.5,-1.2,-2.2,-1.13,61.0,77.0,33.0,23.0,5.0,11.0
Alyson Neves,Sampaio Corrêa,LATERAL,BRA2,-0.27,1.43,-0.54,-1.48,-1.25,-0.01,41.0,81.0,32.0,13.0,20.0,51.0
Salomão,Londrina,LATERAL,BRA2,-0.98,0.17,-1.22,-1.44,-2.06,0.15,19.0,59.0,17.0,15.0,7.0,60.0
Ewerthon,Sport Recife,LATERAL,BRA2,0.03,-1.53,1.14,0.86,0.08,-1.04,51.0,20.0,84.0,75.0,52.0,16.0
Gedeílson,ABC,LATERAL,BRA2,-1.82,-1.05,-1.54,-1.48,-0.64,0.03,8.0,28.0,5.0,12.0,37.0,55.0
Igor Inocêncio,Avaí,LATERAL,BRA2,-0.69,-0.8,-1.62,-0.04,-1.5,-0.29,29.0,35.0,4.0,53.0,16.0,43.0
Vitinho,Sampaio Corrêa,LATERAL,BRA2,-0.94,-1.62,-0.3,-1.02,0.51,1.81,20.0,17.0,44.0,27.0,65.0,95.0
Guilherme Romão,CRB,LATERAL,BRA2,-0.57,-1.85,0.52,-0.3,-0.41,1.27,31.0,13.0,72.0,43.0,41.0,89.0
Thales Oleques,Avaí,LATERAL,BRA2,-0.74,1.88,-1.38,-1.9,-1.23,-1.5,28.0,88.0,12.0,5.0,21.0,4.0
Claudinho,Criciúma,LATERAL,BRA2,0.04,0.89,0.48,1.23,2.01,0.73,52.0,73.0,68.0,80.0,93.0,80.0
Cristiano,Chapecoense,LATERAL,BRA2,-1.32,-2.03,0.85,0.69,1.03,1.02,13.0,8.0,79.0,72.0,79.0,83.0
Luiz Felipe,Ponte Preta,LATERAL,BRA2,2.23,3.0,0.5,-0.64,0.96,2.16,97.0,96.0,69.0,39.0,77.0,99.0
Hereda,CRB,LATERAL,BRA2,1.57,-0.27,1.39,0.12,4.06,2.14,87.0,47.0,89.0,57.0,100.0,97.0
Zeca,Vitória,LATERAL,BRA2,0.81,-1.31,0.39,1.19,0.09,-0.13,80.0,25.0,64.0,79.0,55.0,47.0
Pacheco,Ituano,LATERAL,BRA2,1.92,1.71,1.98,2.33,0.83,-0.97,96.0,87.0,96.0,97.0,71.0,20.0
Matheus Pivô,Sampaio Corrêa,LATERAL,BRA2,1.83,1.58,1.3,0.68,-1.84,-0.43,93.0,84.0,88.0,71.0,12.0,36.0
Warley,Ceará,LATERAL,BRA2,-0.85,-1.9,-0.64,-0.59,-1.33,-1.02,25.0,11.0,31.0,40.0,19.0,17.0
Léo Duarte,Vila Nova,LATERAL,BRA2,1.63,1.63,-0.42,0.32,-0.2,0.25,89.0,85.0,39.0,63.0,45.0,61.0
Thassio,Botafogo SP,LATERAL,BRA2,-2.91,-2.12,-1.39,-0.85,-0.16,-0.87,1.0,7.0,11.0,29.0,48.0,27.0
Felipinho,Sport Recife,LATERAL,BRA2,-0.88,-0.72,-0.37,-0.27,1.58,0.65,23.0,36.0,41.0,44.0,87.0,75.0
Guilherme Biro,Mirassol,LATERAL,BRA2,1.02,-1.39,1.23,0.18,0.87,0.25,84.0,24.0,87.0,60.0,73.0,63.0
Matheus Ribeiro,CRB,LATERAL,BRA2,0.19,-0.1,-0.96,0.0,0.32,-0.62,60.0,53.0,25.0,55.0,61.0,32.0
Reverson,Grêmio Novorizontino,LATERAL,BRA2,-0.89,-0.37,0.27,0.4,-0.71,-0.25,21.0,45.0,61.0,64.0,32.0,44.0
Patrick Brey,Botafogo SP,LATERAL,BRA2,0.63,1.33,0.02,-0.8,-0.19,1.59,75.0,80.0,57.0,33.0,47.0,93.0
Egídio,Tombense,LATERAL,BRA2,0.68,0.56,0.69,2.08,3.47,0.01,79.0,65.0,75.0,92.0,99.0,52.0
Bruno Tubarão,Atlético GO,LATERAL,BRA2,1.5,0.15,2.54,2.04,1.82,1.38,85.0,57.0,99.0,91.0,91.0,92.0
Natanael,Avaí,LATERAL,BRA2,-0.05,0.6,-0.2,0.41,1.48,0.43,48.0,67.0,48.0,65.0,85.0,71.0
Mário Sérgio,Ituano,LATERAL,BRA2,0.42,1.14,-0.16,-0.08,-1.06,-0.92,68.0,76.0,49.0,51.0,25.0,23.0
Alan Ruschel,Juventude,LATERAL,BRA2,0.15,-1.42,1.01,0.16,0.3,-0.88,56.0,21.0,81.0,59.0,60.0,24.0
Pedro Costa,Tombense,LATERAL,BRA2,0.19,0.9,2.62,1.9,1.46,2.03,59.0,75.0,100.0,88.0,84.0,96.0
Reginaldo,Água Santa,LATERAL,BRA2,-2.05,-3.04,-0.84,-1.25,-0.08,-0.4,3.0,1.0,27.0,19.0,49.0,39.0
Willean Lepo,Grêmio Novorizontino,LATERAL,BRA2,0.23,0.86,1.58,2.23,2.52,1.11,63.0,72.0,91.0,95.0,97.0,85.0
Lucas Ramon,Mirassol,LATERAL,BRA2,0.24,0.38,-0.24,-0.82,0.57,0.4,64.0,64.0,45.0,32.0,68.0,69.0
Mayk,Guarani,LATERAL,BRA2,-0.13,-0.21,0.41,-0.7,-0.87,0.12,45.0,48.0,65.0,37.0,29.0,59.0
Rodrigo Gelado,Vila Nova,LATERAL,BRA2,-0.75,-0.51,-0.65,-0.1,0.34,-0.98,27.0,39.0,29.0,49.0,63.0,19.0
Artur,Ponte Preta,LATERAL,BRA2,0.12,1.51,1.12,1.59,0.41,-0.86,55.0,83.0,83.0,84.0,64.0,28.0
Diogo Mateus,Guarani,LATERAL,BRA2,0.01,-2.44,1.74,1.12,-0.22,-0.01,49.0,4.0,93.0,77.0,44.0,49.0
Marcelo Hermes,Criciúma,LATERAL,BRA2,0.31,-0.81,-0.12,-0.13,0.08,-0.37,65.0,33.0,53.0,48.0,53.0,40.0
E. Espinoza,Beroe,LATERAL,BUL,-0.23,0.04,1.21,2.39,-0.77,-0.48,44.0,56.0,87.0,89.0,36.0,36.0
B. Traoré,Botev Vratsa,LATERAL,BUL,-1.34,-0.12,-1.7,-2.47,-0.71,-0.09,20.0,47.0,15.0,2.0,38.0,53.0
S. Vasilev,CSKA 1948 Sofia,LATERAL,BUL,-0.5,-1.35,-0.1,-0.39,-0.35,0.5,33.0,24.0,47.0,45.0,47.0,80.0
A. Belousov,Spartak Varna,LATERAL,BUL,-0.78,-0.45,-0.48,-0.23,1.6,0.35,25.0,35.0,38.0,51.0,84.0,73.0
H. Popadiyn,OFK Pirin,LATERAL,BUL,-0.03,1.23,-1.86,-2.04,-2.16,-1.14,53.0,80.0,9.0,5.0,5.0,11.0
Saná,CF Os Belenenses,LATERAL,BUL,1.74,3.0,-0.22,-0.56,-0.53,2.19,91.0,95.0,44.0,38.0,42.0,95.0
Celso Raposo,Kalamata,LATERAL,BUL,0.23,1.51,1.02,0.68,2.44,2.18,62.0,87.0,75.0,80.0,95.0,93.0
Y. Nenov,Hamrun Spartans,LATERAL,BUL,-2.39,-1.07,-2.29,0.51,-0.68,-0.51,4.0,31.0,4.0,75.0,40.0,31.0
V. Hristov,Etar,LATERAL,BUL,-2.01,0.01,-1.75,-1.32,-1.71,-1.49,9.0,53.0,13.0,13.0,11.0,5.0
P. Konaté,Nea Salamis,LATERAL,BUL,-2.66,-3.11,-2.6,-1.12,-1.07,-1.51,2.0,2.0,2.0,18.0,29.0,4.0
J. Tomašević,Anagennisi Karditsas,LATERAL,BUL,1.12,1.44,1.16,-1.84,-1.64,0.09,80.0,85.0,82.0,9.0,16.0,64.0
J. Govea,Beroe,LATERAL,BUL,-2.3,-1.08,-1.53,-0.64,-0.15,0.07,5.0,29.0,16.0,35.0,55.0,62.0
O. Kamdem,Lokomotiv Plovdiv,LATERAL,BUL,1.51,-0.2,-1.81,-1.44,-1.41,-0.48,85.0,40.0,11.0,11.0,25.0,38.0
K. Peshov,Lokomotiv Plovdiv,LATERAL,BUL,-1.49,-1.77,-0.93,-0.69,-0.28,-0.95,13.0,16.0,29.0,33.0,51.0,16.0
M. Stojanov,Septemvri Sofia,LATERAL,BUL,-0.37,-1.85,0.37,0.15,0.0,0.04,36.0,15.0,62.0,65.0,58.0,58.0
Pipa,West Bromwich Albion,LATERAL,BUL,2.57,-1.44,0.7,1.38,2.16,-0.06,98.0,22.0,71.0,85.0,91.0,55.0
R. Ivey,Spartak Varna,LATERAL,BUL,0.94,3.61,2.8,2.66,1.68,2.38,76.0,96.0,98.0,93.0,85.0,98.0
M. Zhelev,Oţelul,LATERAL,BUL,0.77,1.32,0.02,-0.04,-1.66,-0.23,75.0,82.0,51.0,60.0,15.0,44.0
Son,Ludogorets,LATERAL,BUL,1.04,-1.86,2.22,0.49,3.92,-0.27,78.0,13.0,96.0,71.0,98.0,42.0
K. Stoyanov,Etar,LATERAL,BUL,-0.42,0.32,-0.21,2.4,1.22,-0.11,35.0,64.0,45.0,91.0,78.0,49.0
V. Mitev,Spartak Varna,LATERAL,BUL,-0.16,0.3,-0.98,0.23,1.5,0.46,47.0,60.0,25.0,69.0,82.0,75.0
K. Stanev,Etar,LATERAL,BUL,-2.01,-1.51,-2.12,-0.82,1.93,0.83,7.0,20.0,7.0,25.0,87.0,85.0
K. Balogiannis,Botev Plovdiv,LATERAL,BUL,-0.51,-0.68,-0.95,1.04,0.62,-0.75,31.0,33.0,27.0,82.0,71.0,22.0
N. Nikolaev,Hebar 1918,LATERAL,BUL,1.9,3.81,1.06,-0.48,-1.16,-0.76,95.0,98.0,76.0,42.0,27.0,20.0
Steeve Furtado,CSKA 1948 Sofia,LATERAL,BUL,0.33,0.2,1.78,0.22,0.66,-0.52,64.0,58.0,91.0,67.0,73.0,29.0
A. Isuf,Hebar 1918,LATERAL,BUL,0.4,0.47,-0.53,-0.6,-1.07,-0.65,67.0,65.0,35.0,36.0,31.0,25.0
D. Ali,Krumovgrad,LATERAL,BUL,-0.0,-0.18,0.62,1.57,-0.91,0.02,56.0,42.0,69.0,87.0,35.0,56.0
M. Stoychev,Arda,LATERAL,BUL,0.62,0.55,0.55,-0.76,0.99,0.49,73.0,73.0,65.0,31.0,76.0,78.0
A. Georgiev,Krumovgrad,LATERAL,BUL,-1.38,-1.53,0.07,0.65,-1.46,-1.07,15.0,18.0,56.0,78.0,24.0,13.0
L. Soares,Slavia Sofia,LATERAL,BUL,-1.31,-1.87,-0.62,-0.16,2.03,-0.74,24.0,9.0,31.0,56.0,89.0,24.0
M. Nikolov,Etar,LATERAL,BUL,-0.58,-0.08,-1.3,-0.82,-1.53,-1.78,29.0,51.0,18.0,27.0,20.0,2.0
I. Naydenov,Lokomotiv Sofia 1929,LATERAL,BUL,-0.25,-0.08,-0.25,-0.76,0.16,-0.47,42.0,49.0,42.0,29.0,62.0,40.0
D. Lozev,Arda,LATERAL,BUL,1.19,2.38,0.05,-0.19,-2.18,0.51,82.0,93.0,55.0,55.0,4.0,82.0
Matheus Silva,Qarabag,LATERAL,BUL,0.43,-1.32,1.17,-0.49,0.54,2.2,69.0,25.0,84.0,40.0,69.0,96.0
T. Panov,Cherno More,LATERAL,BUL,-0.08,-0.24,2.06,-1.09,-2.32,0.13,51.0,38.0,95.0,20.0,2.0,65.0
N. Minkov,Botev Plovdiv,LATERAL,BUL,-1.84,-2.66,0.08,-1.03,-0.34,0.67,11.0,4.0,58.0,22.0,49.0,84.0
A. Lyaskov,Lokomotiv Plovdiv,LATERAL,BUL,2.44,1.78,0.61,0.07,-1.07,0.29,96.0,91.0,67.0,64.0,33.0,69.0
I. Turitsov,CSKA Sofia,LATERAL,BUL,-0.3,0.77,-1.09,-1.27,0.87,-0.21,38.0,76.0,24.0,15.0,75.0,45.0
A. Vasilev,Cherno More,LATERAL,BUL,0.37,-1.19,1.21,3.05,3.16,2.47,65.0,27.0,85.0,96.0,96.0,100.0
T. Vion,CSKA Sofia,LATERAL,BUL,-0.09,1.34,1.16,0.51,0.5,0.91,49.0,84.0,78.0,73.0,67.0,87.0
V. Kerchev,Slavia Sofia,LATERAL,BUL,1.62,1.6,0.11,-1.19,-1.82,-0.48,87.0,89.0,60.0,16.0,7.0,35.0
J. Eto'o,Botev Plovdiv,LATERAL,BUL,1.82,0.67,0.48,0.6,0.12,0.33,93.0,75.0,64.0,76.0,60.0,71.0
A. Witry,Ludogorets,LATERAL,BUL,1.48,-2.13,1.52,3.21,4.15,-1.0,84.0,7.0,89.0,98.0,100.0,15.0
Gustavo Cascardo,Beroe,LATERAL,BUL,0.14,0.48,-1.09,-0.21,-0.51,-0.1,58.0,69.0,22.0,53.0,45.0,51.0
Bruno,Lokomotiv Sofia 1929,LATERAL,BUL,-1.37,-0.13,-0.49,-0.13,-0.19,1.06,16.0,45.0,36.0,58.0,53.0,89.0
M. Tsvetanov,Botev Vratsa,LATERAL,BUL,-1.33,-2.61,-0.02,-0.34,0.46,-1.32,22.0,5.0,49.0,49.0,65.0,9.0
D. Semeniv,OFK Pirin,LATERAL,BUL,-0.17,0.48,-2.19,-2.4,-1.74,0.49,45.0,67.0,5.0,4.0,9.0,76.0
J. Pétris,Levski Sofia,LATERAL,BUL,-0.28,-1.87,0.88,-0.46,-1.61,1.79,40.0,11.0,73.0,44.0,18.0,91.0
A. Yordanov,OFK Pirin,LATERAL,BUL,-1.34,0.49,-1.29,-1.87,-1.69,-0.14,18.0,71.0,20.0,7.0,13.0,47.0
B. Mendoza,Botev Vratsa,LATERAL,BUL,-0.02,0.04,-0.41,-0.93,-1.52,0.06,55.0,55.0,40.0,24.0,22.0,60.0
R. Mazáň,Hebar 1918,LATERAL,BUL,0.56,-0.15,1.16,1.09,-0.03,-1.36,71.0,44.0,80.0,84.0,56.0,7.0
Tsunami,Levski Sofia,LATERAL,BUL,1.64,0.32,1.89,3.32,1.5,-0.5,89.0,62.0,93.0,100.0,80.0,33.0
V. Velev,Krumovgrad,LATERAL,BUL,0.2,0.85,0.04,-0.37,-0.53,-0.94,60.0,78.0,53.0,47.0,44.0,18.0
V. Popov,Cherno More,LATERAL,BUL,3.11,3.92,3.33,2.99,2.31,0.26,100.0,100.0,100.0,95.0,93.0,67.0
E. Tombak,Slavia Sofia,LATERAL,BUL,-0.61,-0.37,-0.53,-0.04,0.26,-0.65,27.0,36.0,33.0,62.0,64.0,27.0
S. Contreras,Magallanes,LATERAL,CHI,0.58,0.87,-0.78,-0.82,0.5,1.49,65.0,73.0,29.0,27.0,75.0,92.0
M. Isla,Independiente,LATERAL,CHI,1.29,-0.36,2.82,4.7,6.99,-1.25,83.0,42.0,98.0,100.0,100.0,10.0
D. González,Universidad Católica,LATERAL,CHI,0.4,-0.55,-1.07,-1.58,-1.99,-0.82,60.0,35.0,19.0,19.0,8.0,27.0
S. Cabrera,Curicó Unido,LATERAL,CHI,-1.49,0.1,-0.23,-0.39,-2.1,0.44,12.0,54.0,52.0,44.0,6.0,75.0
B. Rojas,Palestino,LATERAL,CHI,-0.7,0.21,-1.36,-2.15,-1.57,0.25,27.0,58.0,8.0,10.0,10.0,58.0
Y. Oyanedel,Copiapó,LATERAL,CHI,-3.25,-3.3,-2.48,-2.46,-1.02,-1.74,4.0,2.0,2.0,6.0,27.0,4.0
F. Massri,Unión Española,LATERAL,CHI,0.04,-0.71,-1.0,0.98,-0.5,-0.48,56.0,29.0,23.0,73.0,40.0,38.0
F. Loyola,Huachipato,LATERAL,CHI,2.12,1.78,-0.26,-1.82,-1.25,1.79,98.0,92.0,50.0,15.0,19.0,96.0
M. González,O'Higgins,LATERAL,CHI,-0.64,-0.89,-0.64,-2.55,-2.58,-0.58,31.0,25.0,35.0,4.0,2.0,33.0
N. Baeza,Huachipato,LATERAL,CHI,0.29,0.17,0.6,-0.65,-0.54,-0.03,58.0,56.0,77.0,31.0,38.0,50.0
A. Barrios,Curicó Unido,LATERAL,CHI,0.46,0.65,-0.8,-0.63,-0.61,-0.7,62.0,65.0,27.0,33.0,35.0,29.0
Y. Andía,Universidad de Chile,LATERAL,CHI,-0.73,-2.53,0.03,1.04,-1.06,0.54,25.0,8.0,56.0,75.0,23.0,77.0
M. Vásquez,Magallanes,LATERAL,CHI,-0.69,1.27,-0.22,-0.53,-1.43,0.16,29.0,81.0,54.0,38.0,15.0,56.0
