,Atleta,Equipe Janela Análise,Posição,Liga,Dribles bem sucedidos /90,Dribles bem sucedidos /90_percentil,Drible,Drible_percentil
11693,B. Jocić,Rubin Kazan',MEIO-CAMPO,SER,-1.1,9,-1.1,9
11694,Matheus Índio,Vojvodina,MEIO-CAMPO,SER,-0.43,41,-0.43,41
11695,S. Kovač,Čukarički,MEIO-CAMPO,SER,0.04,65,0.04,65
11696,N. Vukić,Al Jazira,MEIO-CAMPO,SER,-1.11,6,-1.11,6
11697,R. Milosavljević,Kashima Antlers,MEIO-CAMPO,SER,-0.32,48,-0.32,48
11698,M. Stamenić,Crvena Zvezda,MEIO-CAMPO,SER,-0.42,42,-0.42,42
11699,L. Zorić,Radnički Kragujevac,MEIO-CAMPO,SER,-0.94,15,-0.94,15
11700,B. Knezević,Železničar Pancevo,MEIO-CAMPO,SER,-0.23,53,-0.23,53
11701,L. Zličić,Napredak Kruševac,MEIO-CAMPO,SER,0.19,70,0.19,70
11702,M. Stajić,Radnički Niš,MEIO-CAMPO,SER,-1.2,3,-1.2,3
11703,M. Velicković,Mladost Lučani,MEIO-CAMPO,SER,0.8,80,0.8,80
11704,Hwang In-Beom,Crvena Zvezda,MEIO-CAMPO,SER,0.6,79,0.6,79
11705,G. Kanga,Crvena Zvezda,MEIO-CAMPO,SER,0.12,68,0.12,68
11706,M. Docić,Čukarički,MEIO-CAMPO,SER,-0.85,20,-0.85,20
11707,F. Krstić,Napredak Kruševac,MEIO-CAMPO,SER,-0.99,12,-0.99,12
11708,V. Kijevčanin,IMT Novi Beograd,MEIO-CAMPO,SER,-0.61,30,-0.61,30
11709,D. Grgić,Železničar Pancevo,MEIO-CAMPO,SER,2.21,95,2.21,95
11710,M. Radin,Bačka Topola,MEIO-CAMPO,SER,0.38,76,0.38,76
11711,I. Djakovac,Bačka Topola,MEIO-CAMPO,SER,-0.13,59,-0.13,59
11712,M. Momcilović,Novi Pazar,MEIO-CAMPO,SER,-0.71,29,-0.71,29
11713,B. Natcho,Partizan,MEIO-CAMPO,SER,0.26,73,0.26,73
11714,M. Ristić,Radnički Kragujevac,MEIO-CAMPO,SER,-0.72,27,-0.72,27
11715,I. Miladinović,Čukarički,MEIO-CAMPO,SER,2.06,94,2.06,94
11716,U. Ljubomirac,Napredak Kruševac,MEIO-CAMPO,SER,0.2,71,0.2,71
11717,Aleksa Durasovic I,Spartak Subotica,MEIO-CAMPO,SER,-0.81,21,-0.81,21
11718,A. Matić,Voždovac,MEIO-CAMPO,SER,-0.45,39,-0.45,39
11719,B. Doucouré,Javor Ivanjica,MEIO-CAMPO,SER,-0.92,17,-0.92,17
11720,L. Luković,IMT Novi Beograd,MEIO-CAMPO,SER,-0.1,61,-0.1,61
11721,S. Sissoko,Čukarički,MEIO-CAMPO,SER,-1.1,8,-1.1,8
11722,H. Hajdarević,Radnik Surdulica,MEIO-CAMPO,SER,-0.13,56,-0.13,56
11723,A. Pejović,Mladost Lučani,MEIO-CAMPO,SER,-0.39,45,-0.39,45
11724,V. Ilić,Radnički Niš,MEIO-CAMPO,SER,1.22,86,1.22,86
11725,A. Đorđević,Železničar Pancevo,MEIO-CAMPO,SER,-0.57,35,-0.57,35
11726,D. Zukić,Vojvodina,MEIO-CAMPO,SER,-0.79,24,-0.79,24
11727,J. Tumbasević,Mladost Lučani,MEIO-CAMPO,SER,-0.72,26,-0.72,26
11728,M. Oreščanin,Radnik Surdulica,MEIO-CAMPO,SER,-0.89,18,-0.89,18
11729,L. Gojković,Javor Ivanjica,MEIO-CAMPO,SER,2.41,98,2.41,98
11730,I. Hagi,Deportivo Alavés,MEIO-CAMPO,SPA1,2.22,97,2.22,97
11731,R. Kouamé,Cádiz,MEIO-CAMPO,SPA1,-0.07,57,-0.07,57
11732,William Carvalho,Real Betis,MEIO-CAMPO,SPA1,-0.57,36,-0.57,36
11733,Unai Gómez,Athletic Bilbao,MEIO-CAMPO,SPA1,0.28,72,0.28,72
11734,F. Coquelin,Villarreal,MEIO-CAMPO,SPA1,-1.06,8,-1.06,8
11735,Kike Pérez,Rayo Vallecano,MEIO-CAMPO,SPA1,0.05,67,0.05,67
11736,N. Fekir,Real Betis,MEIO-CAMPO,SPA1,2.69,99,2.69,99
11737,Ander Herrera,Athletic Bilbao,MEIO-CAMPO,SPA1,-0.77,22,-0.77,22
11738,Gavi,Barcelona,MEIO-CAMPO,SPA1,0.94,84,0.94,84
11739,Oriol Romeu,Barcelona,MEIO-CAMPO,SPA1,-0.8,21,-0.8,21
11740,C. Benavidez,Deportivo Alavés,MEIO-CAMPO,SPA1,-1.17,5,-1.17,5
11741,Pablo Ibáñez,Osasuna,MEIO-CAMPO,SPA1,-0.37,41,-0.37,41
11742,Gonzalo Melero,Almería,MEIO-CAMPO,SPA1,0.04,66,0.04,66
11743,Álex Fernández,Cádiz,MEIO-CAMPO,SPA1,-1.2,3,-1.2,3
11744,Johnny Cardoso,Real Betis,MEIO-CAMPO,SPA1,-0.19,52,-0.19,52
11745,Hugo Guillamón,Valencia,MEIO-CAMPO,SPA1,-1.02,10,-1.02,10
11746,Ó. Trejo,Rayo Vallecano,MEIO-CAMPO,SPA1,1.88,94,1.88,94
11747,Portu,Girona,MEIO-CAMPO,SPA1,-0.2,51,-0.2,51
11748,Beñat Prados,Athletic Bilbao,MEIO-CAMPO,SPA1,-0.2,49,-0.2,49
11749,Pedri,Barcelona,MEIO-CAMPO,SPA1,0.27,70,0.27,70
11750,D. Sow,Sevilla,MEIO-CAMPO,SPA1,-0.67,31,-0.67,31
11751,Fermín López,Barcelona,MEIO-CAMPO,SPA1,1.62,93,1.62,93
11752,R. Tapia,Celta de Vigo,MEIO-CAMPO,SPA1,0.95,85,0.95,85
11753,Jonathan Viera,Almería,MEIO-CAMPO,SPA1,0.01,61,0.01,61
11754,I. Rakitić,Al Shabab,MEIO-CAMPO,SPA1,-0.08,56,-0.08,56
11755,Omar Mascarell,Mallorca,MEIO-CAMPO,SPA1,-1.33,2,-1.33,2
11756,Saúl,Atlético Madrid,MEIO-CAMPO,SPA1,-1.0,13,-1.0,13
11757,I. Baba,Almería,MEIO-CAMPO,SPA1,0.02,62,0.02,62
11758,E. Capoue,Villarreal,MEIO-CAMPO,SPA1,0.81,83,0.81,83
11759,M. Perrone,Las Palmas,MEIO-CAMPO,SPA1,-0.68,30,-0.68,30
11760,Pablo Barrios,Atlético Madrid,MEIO-CAMPO,SPA1,1.28,87,1.28,87
11761,P. Ciss,Rayo Vallecano,MEIO-CAMPO,SPA1,-0.23,47,-0.23,47
11762,Mikel Vesga,Athletic Bilbao,MEIO-CAMPO,SPA1,-1.35,1,-1.35,1
11763,Beñat Turrientes,Real Sociedad,MEIO-CAMPO,SPA1,1.43,91,1.43,91
11764,Óliver Torres,Sevilla,MEIO-CAMPO,SPA1,-0.25,46,-0.25,46
11765,L. Modrić,Real Madrid,MEIO-CAMPO,SPA1,1.37,90,1.37,90
11766,Manu Morlanes,Mallorca,MEIO-CAMPO,SPA1,-0.01,60,-0.01,60
11767,E. Loiodice,Las Palmas,MEIO-CAMPO,SPA1,0.36,75,0.36,75
11768,Santi Comesaña,Villarreal,MEIO-CAMPO,SPA1,0.5,77,0.5,77
11769,Gonzalo Villar,Granada,MEIO-CAMPO,SPA1,1.3,89,1.3,89
11770,F. de Jong,Barcelona,MEIO-CAMPO,SPA1,0.68,82,0.68,82
11771,Iker Muñoz,Osasuna,MEIO-CAMPO,SPA1,-0.35,43,-0.35,43
11772,G. Escalante,Cádiz,MEIO-CAMPO,SPA1,-1.0,11,-1.0,11
11773,Jon Moncayola,Osasuna,MEIO-CAMPO,SPA1,-0.93,16,-0.93,16
11774,E. Camavinga,Real Madrid,MEIO-CAMPO,SPA1,2.27,98,2.27,98
11775,D. Lopy,Almería,MEIO-CAMPO,SPA1,0.02,63,0.02,63
11776,Lucas Torró,Osasuna,MEIO-CAMPO,SPA1,-0.95,15,-0.95,15
11777,Marc Roca,Real Betis,MEIO-CAMPO,SPA1,-0.82,20,-0.82,20
11778,Moi Gómez,Osasuna,MEIO-CAMPO,SPA1,-0.22,48,-0.22,48
11779,G. Rodríguez,Real Betis,MEIO-CAMPO,SPA1,-0.84,18,-0.84,18
11780,Oihan Sancet,Athletic Bilbao,MEIO-CAMPO,SPA1,1.13,86,1.13,86
11781,Sergio Arribas,Almería,MEIO-CAMPO,SPA1,0.54,78,0.54,78
11782,L. de la Torre,Celta de Vigo,MEIO-CAMPO,SPA1,0.04,64,0.04,64
11783,Unai López,Rayo Vallecano,MEIO-CAMPO,SPA1,-0.29,45,-0.29,45
11784,R. De Paul,Atlético Madrid,MEIO-CAMPO,SPA1,0.54,79,0.54,79
11785,Iñigo Ruiz de Galarreta,Athletic Bilbao,MEIO-CAMPO,SPA1,0.27,71,0.27,71
11786,Y. Herrera,Girona,MEIO-CAMPO,SPA1,-0.16,55,-0.16,55
11787,Luis Milla,Getafe,MEIO-CAMPO,SPA1,-0.53,39,-0.53,39
11788,Isco,Real Betis,MEIO-CAMPO,SPA1,3.97,100,3.97,100
11789,B. Soumaré,Sevilla,MEIO-CAMPO,SPA1,-0.63,33,-0.63,33
11790,Sergi Darder,Mallorca,MEIO-CAMPO,SPA1,2.12,95,2.12,95
11791,Antonio Blanco,Deportivo Alavés,MEIO-CAMPO,SPA1,-0.6,34,-0.6,34
11792,Aimar Oroz,Osasuna,MEIO-CAMPO,SPA1,0.35,74,0.35,74
11793,Samú Costa,Mallorca,MEIO-CAMPO,SPA1,-0.86,17,-0.86,17
11794,Sergio Ruiz,Granada,MEIO-CAMPO,SPA1,1.51,92,1.51,92
11795,Fran Beltrán,Celta de Vigo,MEIO-CAMPO,SPA1,-1.08,6,-1.08,6
11796,Brais Méndez,Real Sociedad,MEIO-CAMPO,SPA1,0.25,69,0.25,69
11797,Marcos Llorente,Atlético Madrid,MEIO-CAMPO,SPA1,-0.29,44,-0.29,44
11798,L. Robertone,Almería,MEIO-CAMPO,SPA1,-0.71,26,-0.71,26
11799,Mikel Merino,Real Sociedad,MEIO-CAMPO,SPA1,-0.56,37,-0.56,37
11800,Javi Muñoz,Las Palmas,MEIO-CAMPO,SPA1,-0.18,53,-0.18,53
11801,Jon Guridi,Deportivo Alavés,MEIO-CAMPO,SPA1,-0.53,40,-0.53,40
11802,Koke,Atlético Madrid,MEIO-CAMPO,SPA1,-1.05,9,-1.05,9
11803,Javi Guerra,Valencia,MEIO-CAMPO,SPA1,0.55,80,0.55,80
11804,Dani Parejo,Villarreal,MEIO-CAMPO,SPA1,-0.72,25,-0.72,25
11805,Iván Martín,Girona,MEIO-CAMPO,SPA1,0.23,68,0.23,68
11806,Martín Zubimendi,Real Sociedad,MEIO-CAMPO,SPA1,-0.7,28,-0.7,28
11807,Óscar Valentín,Rayo Vallecano,MEIO-CAMPO,SPA1,-0.74,24,-0.74,24
11808,Gerard Gumbau,Granada,MEIO-CAMPO,SPA1,-0.75,23,-0.75,23
11809,F. Valverde,Real Madrid,MEIO-CAMPO,SPA1,-0.17,54,-0.17,54
11810,Guevara,Deportivo Alavés,MEIO-CAMPO,SPA1,-0.05,59,-0.05,59
11811,İ. Gündoğan,Barcelona,MEIO-CAMPO,SPA1,0.41,76,0.41,76
11812,Kirian Rodríguez,Las Palmas,MEIO-CAMPO,SPA1,-0.66,32,-0.66,32
11813,Rubén Alcaraz,Cádiz,MEIO-CAMPO,SPA1,-0.56,38,-0.56,38
11814,Aleix García,Girona,MEIO-CAMPO,SPA1,-0.97,14,-0.97,14
11815,Pepelu,Valencia,MEIO-CAMPO,SPA1,-0.69,29,-0.69,29
11816,N. Maksimović,Getafe,MEIO-CAMPO,SPA1,-1.08,7,-1.08,7
11817,J. Varane,Sporting Gijón,MEIO-CAMPO,SPA2,1.9,95,1.9,95
11818,Luis Perea,Leganés,MEIO-CAMPO,SPA2,1.17,88,1.17,88
11819,Eraso,Amorebieta,MEIO-CAMPO,SPA2,-0.66,32,-0.66,32
11820,C. Grenier,Racing Santander,MEIO-CAMPO,SPA2,0.48,72,0.48,72
11821,Pau Navarro,Villarreal B,MEIO-CAMPO,SPA2,-1.01,12,-1.01,12
11822,César de la Hoz,Real Valladolid,MEIO-CAMPO,SPA2,-1.17,4,-1.17,4
11823,Álvaro Martín,FC Andorra,MEIO-CAMPO,SPA2,0.94,82,0.94,82
11824,Nacho Martín,Sporting Gijón,MEIO-CAMPO,SPA2,0.15,61,0.15,61
11825,Rodrigo Mendoza,Elche,MEIO-CAMPO,SPA2,2.92,99,2.92,99
11826,Santi Cazorla,Real Oviedo,MEIO-CAMPO,SPA2,0.66,78,0.66,78
11827,Juan Carlos Real,Cartagena,MEIO-CAMPO,SPA2,2.08,96,2.08,96
11828,Fran Manzanara,Racing Ferrol,MEIO-CAMPO,SPA2,-0.9,18,-0.9,18
11829,Javi Mier,Huesca,MEIO-CAMPO,SPA2,-1.19,2,-1.19,2
11830,Sergi Samper,FC Andorra,MEIO-CAMPO,SPA2,-1.06,9,-1.06,9
11831,Peru Nolaskoain,Eibar,MEIO-CAMPO,SPA2,-1.33,1,-1.33,1
11832,M. Lachuer,Mirandés,MEIO-CAMPO,SPA2,1.19,89,1.19,89
11833,Y. Bodiger,Tenerife,MEIO-CAMPO,SPA2,-0.54,43,-0.54,43
11834,Ángel Algobia,Levante,MEIO-CAMPO,SPA2,-0.94,15,-0.94,15
11835,Mikel Rico,Cartagena,MEIO-CAMPO,SPA2,0.16,62,0.16,62
11836,Aitor Gelardo,Villarreal B,MEIO-CAMPO,SPA2,-0.36,48,-0.36,48
11837,Álex López,Racing Ferrol,MEIO-CAMPO,SPA2,-0.63,35,-0.63,35
11838,Roque Mesa,Sporting Gijón,MEIO-CAMPO,SPA2,1.47,93,1.47,93
11839,Iker Kortajarena,Huesca,MEIO-CAMPO,SPA2,-0.21,53,-0.21,53
11840,G. Kochorashvili,Levante,MEIO-CAMPO,SPA2,1.09,87,1.09,87
11841,Reque,Villarreal B,MEIO-CAMPO,SPA2,0.37,70,0.37,70
11842,Javi Lara,Alcorcón,MEIO-CAMPO,SPA2,-0.08,56,-0.08,56
11843,Christian Rivera,Sporting Gijón,MEIO-CAMPO,SPA2,0.32,69,0.32,69
11844,R. Edwards,Amorebieta,MEIO-CAMPO,SPA2,0.21,66,0.21,66
11845,Pablo Tomeo,Mirandés,MEIO-CAMPO,SPA2,-1.03,10,-1.03,10
11846,Unai Vencedor,Eibar,MEIO-CAMPO,SPA2,-0.53,44,-0.53,44
11847,Jimmy,Real Oviedo,MEIO-CAMPO,SPA2,-1.13,6,-1.13,6
11848,K. Appin,Burgos,MEIO-CAMPO,SPA2,1.4,92,1.4,92
11849,J. Chicco,Leganés,MEIO-CAMPO,SPA2,-0.67,31,-0.67,31
11850,Luismi,Real Oviedo,MEIO-CAMPO,SPA2,-0.86,19,-0.86,19
11851,Pol Lozano,Espanyol,MEIO-CAMPO,SPA2,-0.8,23,-0.8,23
11852,John Donald,Elche,MEIO-CAMPO,SPA2,-1.07,7,-1.07,7
11853,Aitor Sanz,Tenerife,MEIO-CAMPO,SPA2,-1.07,8,-1.07,8
11854,Francho Serrano,Real Zaragoza,MEIO-CAMPO,SPA2,0.09,59,0.09,59
11855,Javi Pérez,Alcorcón,MEIO-CAMPO,SPA2,0.58,75,0.58,75
11856,Alberto del Moral,Villarreal B,MEIO-CAMPO,SPA2,-0.59,38,-0.59,38
11857,Erik Morán,Amorebieta,MEIO-CAMPO,SPA2,-0.84,21,-0.84,21
11858,Miki Muñoz,Burgos,MEIO-CAMPO,SPA2,-0.83,22,-0.83,22
11859,Rubén Bover,FC Andorra,MEIO-CAMPO,SPA2,0.98,84,0.98,84
11860,K. Hashimoto,Huesca,MEIO-CAMPO,SPA2,-0.08,57,-0.08,57
11861,Jaume Grau,Real Zaragoza,MEIO-CAMPO,SPA2,-0.32,49,-0.32,49
11862,Pedro Mosquera,Alcorcón,MEIO-CAMPO,SPA2,-0.79,24,-0.79,24
11863,José Gragera,Espanyol,MEIO-CAMPO,SPA2,-0.63,34,-0.63,34
11864,Iván Morante,Racing Santander,MEIO-CAMPO,SPA2,-0.27,51,-0.27,51
11865,K. Bare,Espanyol,MEIO-CAMPO,SPA2,0.48,73,0.48,73
11866,Andy Rodríguez,Cartagena,MEIO-CAMPO,SPA2,-0.95,14,-0.95,14
11867,Álex Carbonell,Amorebieta,MEIO-CAMPO,SPA2,1.01,85,1.01,85
11868,Tachi,Mirandés,MEIO-CAMPO,SPA2,-1.18,3,-1.18,3
11869,Josep Señé,Racing Ferrol,MEIO-CAMPO,SPA2,0.71,79,0.71,79
11870,Álvaro Aguado,Espanyol,MEIO-CAMPO,SPA2,0.61,76,0.61,76
11871,Víctor Meseguer,Real Valladolid,MEIO-CAMPO,SPA2,-0.56,41,-0.56,41
11872,Sergio Lozano,Levante,MEIO-CAMPO,SPA2,0.18,64,0.18,64
11873,Íñigo Sainz-Maza,Racing Santander,MEIO-CAMPO,SPA2,0.12,60,0.12,60
11874,Iker Undabarrena,Leganés,MEIO-CAMPO,SPA2,-0.76,26,-0.76,26
11875,Pablo Martínez,Levante,MEIO-CAMPO,SPA2,1.04,86,1.04,86
11876,Jandro Orellana,FC Andorra,MEIO-CAMPO,SPA2,0.9,81,0.9,81
11877,T. Alarcón,Cartagena,MEIO-CAMPO,SPA2,-1.02,11,-1.02,11
11878,Luis Muñoz,Cartagena,MEIO-CAMPO,SPA2,1.3,91,1.3,91
11879,Y. Eteki,Alcorcón,MEIO-CAMPO,SPA2,-0.23,52,-0.23,52
11880,S. Jurić,Real Valladolid,MEIO-CAMPO,SPA2,-0.57,40,-0.57,40
11881,Jaime Seoane,Real Oviedo,MEIO-CAMPO,SPA2,0.24,67,0.24,67
11882,Sergio Álvarez,Eibar,MEIO-CAMPO,SPA2,-0.74,28,-0.74,28
11883,N. Castro,Elche,MEIO-CAMPO,SPA2,1.19,90,1.19,90
11884,Marc Aguado,Real Zaragoza,MEIO-CAMPO,SPA2,-0.92,16,-0.92,16
11885,Sergio González,Tenerife,MEIO-CAMPO,SPA2,-0.86,20,-0.86,20
11886,Aleix Febas,Elche,MEIO-CAMPO,SPA2,3.61,100,3.61,100
11887,Miguel Atienza,Burgos,MEIO-CAMPO,SPA2,-0.97,13,-0.97,13
11888,Álvaro Sanz,Mirandés,MEIO-CAMPO,SPA2,-0.47,46,-0.47,46
11889,Sergio Molina,FC Andorra,MEIO-CAMPO,SPA2,-0.48,45,-0.48,45
11890,Y. Neyou,Leganés,MEIO-CAMPO,SPA2,0.62,77,0.62,77
11891,D. Musto,Cartagena,MEIO-CAMPO,SPA2,-0.75,27,-0.75,27
11892,Nacho Méndez,Sporting Gijón,MEIO-CAMPO,SPA2,-0.14,54,-0.14,54
11893,Aritz Aldasoro,Racing Santander,MEIO-CAMPO,SPA2,0.18,65,0.18,65
11894,Roberto López,Tenerife,MEIO-CAMPO,SPA2,-0.57,39,-0.57,39
11895,Iván Gil,FC Andorra,MEIO-CAMPO,SPA2,2.16,97,2.16,97
11896,Peque Fernández,Racing Santander,MEIO-CAMPO,SPA2,2.66,98,2.66,98
11897,Toni Moya,Real Zaragoza,MEIO-CAMPO,SPA2,-0.14,55,-0.14,55
11898,Mario Soriano,Eibar,MEIO-CAMPO,SPA2,0.75,80,0.75,80
11899,David Timor,Eldense,MEIO-CAMPO,SPA2,-0.7,30,-0.7,30
11900,Carlo Adriano,Villarreal B,MEIO-CAMPO,SPA2,0.18,63,0.18,63
11901,Alberto Reina,Mirandés,MEIO-CAMPO,SPA2,0.31,68,0.31,68
11902,Oriol Rey,Levante,MEIO-CAMPO,SPA2,-0.56,42,-0.56,42
11903,S. Colombatto,Real Oviedo,MEIO-CAMPO,SPA2,0.05,58,0.05,58
11904,Óscar Sielva,Huesca,MEIO-CAMPO,SPA2,-0.76,25,-0.76,25
11905,K. Sibo,Amorebieta,MEIO-CAMPO,SPA2,-0.72,29,-0.72,29
11906,Lander Olaetxea,Albacete,MEIO-CAMPO,SPA2,-0.61,36,-0.61,36
11907,Àlex Corredera,Tenerife,MEIO-CAMPO,SPA2,-0.44,47,-0.44,47
11908,Iker Losada,Racing Ferrol,MEIO-CAMPO,SPA2,1.62,94,1.62,94
11909,Sergio Ortu,Eldense,MEIO-CAMPO,SPA2,-0.6,37,-0.6,37
11910,Riki Rodríguez,Albacete,MEIO-CAMPO,SPA2,0.46,71,0.46,71
11911,Matheus Pereira,Eibar,MEIO-CAMPO,SPA2,-0.65,33,-0.65,33
11912,Monchu,Real Valladolid,MEIO-CAMPO,SPA2,0.51,74,0.51,74
11913,Jesús Bernal,Racing Ferrol,MEIO-CAMPO,SPA2,-1.16,5,-1.16,5
11914,P. Åslund,Västerås SK,MEIO-CAMPO,SWE,1.45,92,1.45,92
11915,L. Sadiku,Kasımpaşa,MEIO-CAMPO,SWE,-0.55,33,-0.55,33
11916,L. Le Roux,Volendam,MEIO-CAMPO,SWE,-0.15,52,-0.15,52
11917,A. Ali,AIK,MEIO-CAMPO,SWE,0.63,79,0.63,79
11918,B. Hussein,Hertha BSC,MEIO-CAMPO,SWE,-0.83,17,-0.83,17
11919,M. Linday,Västerås SK,MEIO-CAMPO,SWE,-0.31,44,-0.31,44
11920,H. Finndell,Eintracht Braunschweig,MEIO-CAMPO,SWE,-0.84,16,-0.84,16
11921,M. Yalcouyé,IFK Göteborg,MEIO-CAMPO,SWE,4.74,100,4.74,100
11922,A. Magashy,Kalmar,MEIO-CAMPO,SWE,0.57,78,0.57,78
11923,F. Adjei,Värnamo,MEIO-CAMPO,SWE,1.73,97,1.73,97
11924,N. Røjkjær,Mjällby,MEIO-CAMPO,SWE,0.82,86,0.82,86
11925,J. de Kamps,Volos NFC,MEIO-CAMPO,SWE,-0.79,21,-0.79,21
11926,I. Jagne,Mjällby,MEIO-CAMPO,SWE,0.43,75,0.43,75
11927,K. Höög Jansson,IFK Norrköping,MEIO-CAMPO,SWE,-0.58,30,-0.58,30
11928,R. Tranberg,Varbergs,MEIO-CAMPO,SWE,-0.06,57,-0.06,57
11929,T. Tekie,Hammarby,MEIO-CAMPO,SWE,-0.22,48,-0.22,48
11930,S. Rieks,Malmö FF,MEIO-CAMPO,SWE,-0.01,62,-0.01,62
11931,E. Boateng,Konyaspor,MEIO-CAMPO,SWE,0.79,84,0.79,84
11932,O. Rosengren,Malmö FF,MEIO-CAMPO,SWE,-0.04,59,-0.04,59
11933,Jesper Ceesay,IFK Norrköping,MEIO-CAMPO,SWE,-0.47,38,-0.47,38
11934,V. Karlsson,Landskrona,MEIO-CAMPO,SWE,0.3,71,0.3,71
11935,A. Wikman,Sirius,MEIO-CAMPO,SWE,-1.28,3,-1.28,3
11936,V. Gustafson,Mjällby,MEIO-CAMPO,SWE,-0.11,54,-0.11,54
11937,W. Odefalk,Brommapojkarna,MEIO-CAMPO,SWE,0.25,70,0.25,70
11938,B. Sabović,Djurgården,MEIO-CAMPO,SWE,0.53,76,0.53,76
11939,M. Hallberg,Kalmar,MEIO-CAMPO,SWE,-1.12,8,-1.12,8
11940,L. Kåhed,IFK Göteborg,MEIO-CAMPO,SWE,0.66,81,0.66,81
11941,M. Eriksson,Djurgården,MEIO-CAMPO,SWE,0.07,67,0.07,67
11942,C. Gravius,Athens Kallithea,MEIO-CAMPO,SWE,-0.49,37,-0.49,37
11943,K. Thórdarson,IFK Göteborg,MEIO-CAMPO,SWE,0.83,87,0.83,87
11944,R. Schüller,Djurgården,MEIO-CAMPO,SWE,-0.76,22,-0.76,22
11945,S. Gustafson,Urawa Reds,MEIO-CAMPO,SWE,-1.19,5,-1.19,5
11946,A. Baldursson,Elfsborg,MEIO-CAMPO,SWE,-0.57,32,-0.57,32
11947,R. Amane,Häcken,MEIO-CAMPO,SWE,1.24,90,1.24,90
11948,L. Bergvall,Djurgården,MEIO-CAMPO,SWE,1.7,95,1.7,95
11949,T. Matthews,Mamelodi Sundowns,MEIO-CAMPO,SWE,1.18,89,1.18,89
11950,L. Berg Johnsen,Malmö FF,MEIO-CAMPO,SWE,-1.09,13,-1.09,13
11951,L. Walta,Sirius,MEIO-CAMPO,SWE,0.4,73,0.4,73
11952,H. Näsström,Värnamo,MEIO-CAMPO,SWE,-1.16,6,-1.16,6
11953,V. Hammershøy-Mistrati,IFK Norrköping,MEIO-CAMPO,SWE,-0.61,27,-0.61,27
11954,S. Gustafson,Häcken,MEIO-CAMPO,SWE,-0.31,43,-0.31,43
11955,A. Qasem,Elfsborg,MEIO-CAMPO,SWE,1.61,94,1.61,94
11956,J. Svedberg,Halmstad,MEIO-CAMPO,SWE,-1.12,10,-1.12,10
11957,F. Hammar,Hammarby,MEIO-CAMPO,SWE,0.0,63,0.0,63
11958,R. Örqvist,Brommapojkarna,MEIO-CAMPO,SWE,0.05,65,0.05,65
11959,A. Carlén,IFK Göteborg,MEIO-CAMPO,SWE,-0.5,35,-0.5,35
11960,J. Allansson,Halmstad,MEIO-CAMPO,SWE,-1.09,11,-1.09,11
11961,I. Lushaku,IFK Norrköping,MEIO-CAMPO,SWE,0.74,83,0.74,83
11962,R. Gojani,Kalmar,MEIO-CAMPO,SWE,-0.65,25,-0.65,25
11963,D. Stensson,Sirius,MEIO-CAMPO,SWE,-0.91,14,-0.91,14
11964,A. Salétros,AIK,MEIO-CAMPO,SWE,-0.42,40,-0.42,40
11965,Romário,Kalmar,MEIO-CAMPO,SWE,-0.07,56,-0.07,56
11966,M. Rygaard,Häcken,MEIO-CAMPO,SWE,-0.03,60,-0.03,60
11967,S. Leach Holm,Djurgården,MEIO-CAMPO,SWE,-0.6,29,-0.6,29
11968,S. Peña,Malmö FF,MEIO-CAMPO,SWE,-0.67,24,-0.67,24
11969,A. Traustason,IFK Norrköping,MEIO-CAMPO,SWE,-0.18,51,-0.18,51
11970,L. Fritzson,Brommapojkarna,MEIO-CAMPO,SWE,-0.29,46,-0.29,46
11971,M. Baidoo,Elfsborg,MEIO-CAMPO,SWE,0.15,68,0.15,68
11972,Amir Al Ammari,Halmstad,MEIO-CAMPO,SWE,-0.8,19,-0.8,19
11973,N. Besara,Hammarby,MEIO-CAMPO,SWE,-0.19,49,-0.19,49
11974,Wenderson,Värnamo,MEIO-CAMPO,SWE,-0.32,41,-0.32,41
11975,S. Nanasi,Malmö FF,MEIO-CAMPO,SWE,1.81,98,1.81,98
11976,J. Gustavsson,Mjällby,MEIO-CAMPO,SWE,-1.35,2,-1.35,2
11977,L. Winkler,Luzern,MEIO-CAMPO,SWZ,0.2,67,0.2,67
11978,V. Hamdiu,Stade Lausanne-Ouchy,MEIO-CAMPO,SWZ,-1.01,16,-1.01,16
11979,N. Haas,Luzern,MEIO-CAMPO,SWZ,-0.72,29,-0.72,29
11980,M. Olesen,Yverdon Sport,MEIO-CAMPO,SWZ,-1.07,10,-1.07,10
11981,D. Douline,Servette,MEIO-CAMPO,SWZ,-0.44,41,-0.44,41
11982,Giovani Bamba,Stade Lausanne-Ouchy,MEIO-CAMPO,SWZ,0.35,69,0.35,69
11983,H. Loucif,Lausanne Sport,MEIO-CAMPO,SWZ,2.16,98,2.16,98
11984,J. Kadák,Luzern,MEIO-CAMPO,SWZ,1.02,84,1.02,84
11985,L. Łakomy,Young Boys,MEIO-CAMPO,SWZ,-0.14,51,-0.14,51
11986,A. Jankewitz,Winterthur,MEIO-CAMPO,SWZ,0.47,73,0.47,73
11987,M. Stevanović,St. Gallen,MEIO-CAMPO,SWZ,-1.03,14,-1.03,14
11988,B. Toma,St. Gallen,MEIO-CAMPO,SWZ,-0.29,45,-0.29,45
11989,R. Macek,Lugano,MEIO-CAMPO,SWZ,-0.55,35,-0.55,35
11990,H. Mahmoud,Lugano,MEIO-CAMPO,SWZ,1.45,94,1.45,94
