Atleta,Equipe Janela Análise,Posição,Liga,Participação,Recomposição,Retenção Posse,Arranque,Bola aérea,Último passe,Finalização,Drible,Oportunismo,Participação_percentil,Recomposição_percentil,Retenção_posse_percentil,Arranque_percentil,Bola_aérea_percentil,ùltimo_passe_percentil,Finalização_percentil,Drible_percentil,Oportunismo_percentil
A. Armstrong,Southampton,ATACANTE,ENG2,-0.21,-1.41,0.92,-0.54,0.96,1.89,1.43,-0.04,0.66,52,26,82,37,78,88,89,58,74
A. Traoré,Hull City,ATACANTE,ENG2,2.43,0.84,2.07,-1.49,-1.19,1.02,-1.16,0.15,-0.91,99,68,97,11,22,81,23,67,34
T. Cannon,Leicester City,ATACANTE,ENG2,-1.32,-0.83,-1.11,1.88,-0.71,-1.4,0.27,0.09,0.65,16,41,16,93,37,16,66,66,73
Y. Meïté,Cardiff City,ATACANTE,ENG2,0.15,-0.09,0.02,0.32,0.68,-1.95,-2.04,1.34,-1.23,59,56,58,67,74,7,5,89,23
S. Hogan,Birmingham City,ATACANTE,ENG2,-1.72,-2.11,-1.63,-0.94,-1.47,-2.23,-0.22,-0.62,0.23,5,10,8,26,18,1,47,33,58
J. Brown,Luton Town,ATACANTE,ENG2,1.78,2.81,1.25,0.7,1.08,-0.44,0.93,0.55,-0.03,90,92,88,77,79,47,82,77,45
O. Tufan,Hull City,ATACANTE,ENG2,1.96,1.67,2.19,-0.83,0.18,-0.33,0.19,-0.41,0.58,92,81,99,30,67,53,62,44,67
J. Sargent,Norwich City,ATACANTE,ENG2,0.4,1.69,0.64,0.29,2.01,-0.75,-0.56,-0.13,-0.75,64,82,73,66,84,37,33,55,36
E. Adebayo,Luton Town,ATACANTE,ENG2,0.69,2.91,0.19,-1.34,1.95,-0.59,-0.54,0.42,0.16,71,93,62,14,82,41,34,75,53
M. Rogers,Middlesbrough,ATACANTE,ENG2,2.13,3.26,0.76,0.1,-0.96,2.82,-2.2,1.87,-2.55,95,96,79,56,29,93,4,95,4
I. Ndiaye,Olympique Marseille,ATACANTE,ENG2,2.12,3.14,0.52,2.05,-2.27,4.54,0.62,2.12,-1.37,93,95,68,95,5,97,73,97,21
L. Jutkiewicz,Birmingham City,ATACANTE,ENG2,1.57,-0.18,1.53,-0.04,4.1,-1.26,-0.72,-0.76,0.15,88,55,90,51,100,18,29,22,52
A. Idah,Norwich City,ATACANTE,ENG2,-0.73,-0.66,0.01,1.73,-0.5,-0.79,0.14,-0.05,0.63,37,47,56,89,47,34,59,56,70
N. Wells,Bristol City,ATACANTE,ENG2,-0.36,0.26,-0.66,0.48,-0.99,1.02,0.0,-0.74,1.0,44,60,30,70,27,82,53,23,77
L. Cullen,Swansea City,ATACANTE,ENG2,0.02,2.05,-0.15,-0.96,-0.37,0.19,1.4,-1.1,1.32,53,86,51,25,52,73,88,10,85
C. Morris,Luton Town,ATACANTE,ENG2,1.08,-0.64,1.59,0.59,2.49,0.35,0.17,-0.03,0.22,81,49,92,73,92,77,60,59,56
J. Koroma,Huddersfield Town,ATACANTE,ENG2,0.61,0.85,-0.07,0.87,-1.04,0.05,-1.96,1.65,-2.03,68,70,53,79,26,66,7,93,10
A. Barnes,Norwich City,ATACANTE,ENG2,-0.91,-1.06,-0.19,-2.08,-0.06,-0.88,-0.3,-1.28,0.43,33,36,48,5,60,33,44,3,64
T. Dolan,Blackburn Rovers,ATACANTE,ENG2,2.4,1.82,1.64,1.69,-1.61,3.73,-1.34,0.94,-2.03,97,85,93,88,14,96,16,84,11
T. Campbell,Stoke City,ATACANTE,ENG2,0.98,-0.23,1.45,3.75,-0.28,2.43,-1.14,1.6,-1.06,75,53,89,100,55,90,25,92,29
L. Delap,Hull City,ATACANTE,ENG2,-0.94,-1.3,-0.55,2.67,-0.93,-0.35,-0.46,2.12,-0.54,32,30,37,97,32,52,38,96,38
W. Keane,Preston North End,ATACANTE,ENG2,-0.27,1.32,-0.22,-1.13,-0.56,-1.49,1.72,-1.02,1.96,48,75,45,21,44,15,90,16,89
J. Hugill,Rotherham United,ATACANTE,ENG2,0.29,-1.58,0.73,1.0,2.48,-2.04,0.51,-1.09,0.64,60,18,78,81,90,5,71,11,71
J. Lowe,Swansea City,ATACANTE,ENG2,0.1,2.76,-0.73,-0.52,-0.78,0.26,0.69,0.58,0.18,58,90,25,38,33,75,75,78,55
B. Thomas-Asante,West Bromwich Albion,ATACANTE,ENG2,-0.97,-1.03,-1.09,0.6,-1.22,-0.48,-0.26,0.66,0.13,29,38,18,75,21,45,45,79,51
L. Dykes,Queens Park Rangers,ATACANTE,ENG2,0.4,0.59,0.53,0.21,2.58,-1.15,-1.38,-0.69,-1.04,66,66,70,59,93,23,15,27,30
V. Gyökeres,Sporting CP,ATACANTE,ENG2,0.58,-1.62,0.65,3.39,-0.13,4.74,-0.32,3.69,-0.24,67,15,75,99,56,99,41,100,44
M. Godden,Coventry City,ATACANTE,ENG2,-1.57,-0.31,-0.93,0.08,-0.41,-0.75,0.2,-1.02,0.37,12,51,23,55,51,36,63,15,62
J. Yates,Swansea City,ATACANTE,ENG2,-1.24,-0.71,-1.31,-1.41,-1.06,-1.5,1.26,-0.85,1.21,18,42,11,12,25,14,85,19,82
T. Bradshaw,Millwall,ATACANTE,ENG2,-1.09,-0.65,-0.97,-0.41,0.08,0.24,0.45,-0.55,0.26,23,48,21,41,64,74,68,34,59
J. Piroe,Leeds United,ATACANTE,ENG2,-0.35,-0.69,-0.28,-1.32,-1.66,-0.23,0.26,-0.27,1.85,47,45,41,15,11,56,64,49,88
L. Mothiba,Strasbourg,ATACANTE,FRA1,-1.67,-1.35,-0.71,-0.36,1.51,-1.72,1.74,-0.92,2.69,7,24,24,41,85,15,85,20,98
N. Alioui,Le Havre,ATACANTE,FRA1,-0.08,-1.15,0.96,1.02,1.74,-0.42,0.94,0.25,0.26,59,29,88,78,90,49,76,63,61
M. Niang,Adana Demirspor,ATACANTE,FRA1,-0.11,1.34,-0.06,-0.67,0.14,-2.2,0.97,-0.15,2.32,56,78,56,32,54,5,78,44,90
A. Salama,Reims,ATACANTE,FRA1,-0.37,0.12,-0.66,1.18,-1.43,-1.43,-3.72,0.74,-3.87,39,54,29,83,20,22,2,85,2
H. Ekitiké,PSG,ATACANTE,FRA1,-0.14,0.23,0.44,-2.11,0.64,0.82,-1.65,-0.57,-1.56,51,59,71,5,68,76,15,29,20
B. Dieng,Lorient,ATACANTE,FRA1,0.16,0.73,0.36,-1.53,1.47,-0.78,-0.01,-0.16,0.99,63,71,66,15,83,41,46,41,71
P. Aubameyang,Olympique Marseille,ATACANTE,FRA1,-1.3,0.04,-1.03,-1.04,-1.0,4.46,-1.06,-0.66,-0.39,15,49,17,24,34,98,27,27,46
E. Ben Seghir,Monaco,ATACANTE,FRA1,3.37,2.91,1.75,0.64,-0.66,0.58,0.54,0.61,-0.52,100,95,95,73,44,71,66,78,41
E. Guessand,Nice,ATACANTE,FRA1,0.72,2.45,0.58,0.28,1.31,-1.56,0.05,2.31,-0.79,76,90,76,61,80,20,51,98,37
I. Niane,Angers SCO,ATACANTE,FRA1,-0.91,-0.53,-0.53,-1.58,1.54,-1.87,-1.67,-0.49,-1.48,29,41,32,12,88,12,10,34,22
M. Bayo,Le Havre,ATACANTE,FRA1,-0.43,0.32,-0.14,-1.68,0.22,-1.41,0.92,-0.06,1.34,34,61,51,10,63,24,73,51,76
A. Hunou,Angers SCO,ATACANTE,FRA1,1.16,2.31,0.45,-1.48,-1.33,-1.95,-2.74,-1.26,-2.83,88,88,73,20,22,10,5,10,5
Vitinha,Olympique Marseille,ATACANTE,FRA1,1.11,3.35,-0.42,-0.3,-1.62,0.09,-0.99,0.13,-1.17,85,98,37,46,15,59,29,59,29
Nuno Da Costa,Kasımpaşa,ATACANTE,FRA1,1.9,4.29,0.95,2.14,1.13,1.39,-1.21,0.57,-1.63,95,100,85,95,73,85,24,76,15
M. Abline,Nantes,ATACANTE,FRA1,-1.46,-1.78,-1.48,0.18,-1.66,-0.36,-1.66,0.63,-1.69,12,20,7,56,12,51,12,80,12
I. Ganago,Nantes,ATACANTE,FRA1,-0.13,-0.01,0.91,1.48,3.08,-0.27,-2.02,0.51,-2.14,54,46,83,90,98,56,7,73,10
A. Adams,Montpellier,ATACANTE,FRA1,-1.48,-2.71,-0.35,2.36,0.14,-1.58,0.33,-0.36,0.92,10,12,39,98,56,17,59,37,68
K. Toko Ekambi,Abha,ATACANTE,FRA1,0.63,0.14,0.19,0.23,-1.53,0.57,-1.42,0.71,-2.31,71,56,63,59,17,68,17,83,7
A. Sima,Rangers,ATACANTE,FRA1,-0.19,0.52,-0.68,0.45,0.35,-1.07,0.02,0.33,-1.46,46,66,27,68,66,29,49,68,24
I. Koné,Almería,ATACANTE,FRA1,-0.26,1.61,0.04,-0.47,0.96,-0.3,0.57,-1.47,0.01,41,80,61,39,71,54,68,7,54
M. El Idrissy,Kortrijk,ATACANTE,FRA1,0.96,2.46,0.61,0.85,0.21,-2.31,-1.33,-1.18,-1.57,83,93,78,76,61,2,22,12,17
L. Openda,RB Leipzig,ATACANTE,FRA1,-1.75,-2.72,-1.15,1.59,0.06,1.67,1.87,0.01,1.79,2,10,15,93,51,88,90,54,83
K. Gameiro,Strasbourg,ATACANTE,FRA1,0.31,0.72,-0.19,-0.33,-1.19,0.11,0.51,-1.15,-0.17,66,68,44,44,24,61,63,15,51
L. Messi,Inter Miami,ATACANTE,FRA1,3.23,-2.77,3.67,0.15,-0.59,5.52,-0.7,1.64,0.2,98,5,100,54,46,100,34,95,59
H. Diallo,Al Shabab,ATACANTE,FRA1,-1.06,-0.26,0.44,1.33,2.0,-0.93,1.6,-0.81,2.43,22,44,68,85,93,34,83,24,93
A. Sánchez,Internazionale,ATACANTE,FRA1,0.1,-1.53,-0.15,-0.85,-0.88,2.05,0.79,0.05,-0.23,61,22,49,29,37,90,71,56,49
Mama Baldé,Olympique Lyonnais,ATACANTE,FRA1,0.89,1.22,-0.17,0.49,-1.1,-0.85,-0.9,0.87,-0.74,80,73,46,71,29,37,32,90,39
Mostafa Mohamed,Nantes,ATACANTE,FRA1,-0.37,1.93,-0.13,-0.56,2.06,-2.11,-0.07,-1.04,0.3,37,85,54,37,95,7,41,17,63
E. Wahi,Lens,ATACANTE,FRA1,-1.71,-1.95,-1.71,1.17,-0.86,-0.59,2.26,0.94,0.8,5,15,2,80,39,46,98,93,66
A. Kalimuendo,Rennes,ATACANTE,FRA1,-0.57,-0.88,-1.3,-2.27,-2.46,-0.97,-0.57,-0.34,-1.2,32,39,12,2,5,32,37,39,27
G. Kyei,Clermont,ATACANTE,FRA1,-0.24,-1.09,-0.01,-0.6,-0.13,-0.84,0.32,-0.12,2.18,44,32,59,34,49,39,56,46,88
W. Ben Yedder,Monaco,ATACANTE,FRA1,-1.29,-2.74,-0.81,-0.97,-1.04,2.22,2.31,-0.54,1.93,17,7,20,27,32,93,100,32,85
S. Mounié,Brest,ATACANTE,FRA1,0.81,0.4,1.83,1.34,5.6,-0.77,-1.34,-1.58,-1.15,78,63,98,88,100,44,20,5,32
T. Dallinga,Toulouse,ATACANTE,FRA1,-0.98,-0.99,-0.5,-1.15,1.17,-1.08,1.2,-1.59,1.17,27,37,34,22,76,27,80,2,73
A. Lacazette,Olympique Lyonnais,ATACANTE,FRA1,0.33,0.07,-0.22,-1.51,-1.18,0.87,1.81,0.29,2.74,68,51,41,17,27,80,88,66,100
F. Balogun,Monaco,ATACANTE,FRA1,-0.99,-1.86,-1.54,0.09,-2.42,0.3,0.5,0.19,1.77,24,17,5,49,7,63,61,61,80
T. Moffi,Nice,ATACANTE,FRA1,-1.15,-1.02,-1.39,-2.05,-0.81,0.82,0.23,-0.1,0.06,20,34,10,7,41,73,54,49,56
G. Laborde,Nice,ATACANTE,FRA1,0.68,1.24,0.64,0.45,1.19,0.34,-0.05,0.4,-0.41,73,76,80,66,78,66,44,71,44
A. Gouiri,Rennes,ATACANTE,FRA1,1.22,1.79,1.02,0.13,0.17,0.83,-0.21,0.85,-0.86,90,83,90,51,59,78,39,88,34
K. Mbappé,PSG,ATACANTE,FRA1,1.23,-3.69,1.3,3.69,-2.7,3.84,1.93,3.37,1.73,93,2,93,100,2,95,95,100,78
J. David,Lille,ATACANTE,FRA1,-0.16,-1.16,-0.78,0.32,-2.09,0.89,1.92,-0.83,2.54,49,27,22,63,10,83,93,22,95
P. Tietz,Augsburg,ATACANTE,GER1,-0.85,0.3,-0.7,-1.62,-0.09,0.07,-0.62,-1.26,0.09,23,58,26,14,51,49,30,5,58
M. Frey,Antwerp,ATACANTE,GER1,1.06,0.55,-0.1,-0.78,-0.82,0.32,-3.43,-0.21,-2.63,86,72,40,30,35,58,5,51,5
E. Choupo-Moting,Bayern München,ATACANTE,GER1,-0.34,-1.62,-0.08,-1.67,0.77,0.9,0.81,-0.12,1.26,42,21,42,12,72,74,81,53,86
M. Ingvartsen,Nordsjælland,ATACANTE,GER1,0.02,0.48,0.0,-0.32,-1.36,-2.81,2.56,-0.71,4.36,51,67,51,42,23,5,95,33,98
M. Beier,Hoffenheim,ATACANTE,GER1,-1.19,-1.24,-0.79,0.54,-1.37,-1.42,0.62,0.9,0.14,16,28,16,72,21,26,74,79,63
André Silva,Real Sociedad,ATACANTE,GER1,0.49,-0.47,-0.05,0.29,-1.71,0.09,-1.5,0.23,-0.69,79,44,47,70,14,53,9,70,35
Y. Poulsen,RB Leipzig,ATACANTE,GER1,0.17,0.76,-0.39,-1.32,-1.18,0.02,0.17,-0.12,0.08,63,77,35,19,26,47,60,56,56
L. Openda,RB Leipzig,ATACANTE,GER1,-1.72,-2.18,-1.66,0.16,-0.35,1.63,1.02,0.85,0.86,7,9,9,60,42,84,84,77,81
W. Weghorst,Hoffenheim,ATACANTE,GER1,-0.52,0.65,0.46,-0.21,2.24,-1.15,2.51,-1.31,1.66,30,74,70,47,95,30,93,2,88
L. Pfeiffer,Darmstadt 98,ATACANTE,GER1,-1.43,-0.59,-0.57,-0.16,-0.86,-2.14,-3.45,-0.99,-2.69,9,37,30,49,30,7,2,16,2
H. Kane,Bayern München,ATACANTE,GER1,-1.42,-1.87,-1.88,-2.81,-0.34,3.25,3.22,-0.76,5.19,12,12,5,2,47,98,100,28,100
J. Siebatcheu,Borussia M'gladbach,ATACANTE,GER1,0.17,0.84,0.11,-1.37,2.11,-1.66,-0.56,-1.16,-0.56,65,79,60,16,93,19,40,7,40
J. Ngankam,Eintracht Frankfurt,ATACANTE,GER1,-0.35,1.14,-2.7,-2.1,-2.34,-0.97,-0.15,-0.24,1.13,40,84,2,7,9,35,49,47,84
V. Boniface,Bayer Leverkusen,ATACANTE,GER1,-0.58,-2.84,-0.28,-0.67,-0.44,3.93,-0.33,1.95,0.39,28,2,37,35,40,100,47,93,72
T. Kleindienst,Heidenheim,ATACANTE,GER1,0.86,2.56,0.37,-0.87,0.35,-2.02,0.33,-0.37,2.01,84,91,65,23,58,9,67,42,91
D. Lukébakio,Sevilla,ATACANTE,GER1,0.02,0.52,-0.03,3.63,-1.94,1.07,-0.56,2.3,-0.21,53,70,49,100,12,77,37,100,51
M. Thuram,Internazionale,ATACANTE,GER1,-0.18,-0.57,1.38,2.72,0.96,1.93,-1.25,-0.24,-0.77,47,40,95,95,74,91,12,49,30
M. Berisha,Hoffenheim,ATACANTE,GER1,-1.92,-1.63,-1.66,-0.71,-0.35,-2.94,-0.58,0.01,0.1,2,16,7,33,44,2,33,67,60
S. Tigges,Köln,ATACANTE,GER1,-1.1,0.06,-0.72,-0.95,1.73,-1.52,-1.14,-0.29,-1.47,19,56,23,21,81,23,16,44,19
T. Skarke,Darmstadt 98,ATACANTE,GER1,1.4,2.12,0.07,1.09,-2.36,-1.09,-0.56,0.9,-1.7,91,88,53,79,7,33,35,81,14
R. Borré,Werder Bremen,ATACANTE,GER1,1.88,0.43,1.37,0.97,1.81,-1.41,-0.53,-0.1,-1.86,95,65,93,77,84,28,42,58,9
S. Gnabry,Bayern München,ATACANTE,GER1,3.75,3.48,2.0,0.18,-0.6,2.96,-0.75,0.91,-1.1,100,98,100,67,37,95,21,84,23
M. Gregoritsch,Freiburg,ATACANTE,GER1,-0.48,0.05,0.54,0.09,1.46,-0.82,-1.15,-0.67,-1.2,35,53,72,58,79,37,14,35,21
D. Beljo,Augsburg,ATACANTE,GER1,-0.23,0.42,-0.74,-0.66,0.51,0.08,1.68,-0.75,-0.21,44,63,19,37,67,51,88,30,53
T. Werner,RB Leipzig,ATACANTE,GER1,0.23,-2.25,0.43,1.73,-3.61,0.48,0.07,0.64,-1.07,70,7,67,91,2,63,56,72,26
S. Haller,Borussia Dortmund,ATACANTE,GER1,-0.98,-0.56,-0.47,-1.88,0.45,0.65,1.73,-0.93,0.73,21,42,33,9,63,70,91,23,77
S. Katompa Mvumpa,Stuttgart,ATACANTE,GER1,-0.08,1.23,-0.72,1.31,-1.54,0.17,-0.72,1.12,-0.7,49,86,21,81,19,56,23,88,33
R. Kolo Muani,PSG,ATACANTE,GER1,0.11,-1.63,0.74,1.56,0.51,1.81,0.74,2.11,0.48,56,19,77,86,65,88,79,95,74
S. Guirassy,Stuttgart,ATACANTE,GER1,-0.52,-2.28,0.99,-0.8,0.12,0.5,3.06,-0.01,3.78,33,5,88,28,56,65,98,65,95
D. Selke,Köln,ATACANTE,GER1,-1.72,-0.83,-0.06,0.16,3.04,-2.01,0.33,-0.79,-0.21,5,35,44,63,98,12,70,26,49
Omar Marmoush,Eintracht Frankfurt,ATACANTE,GER1,0.64,-0.13,0.95,1.5,-0.82,0.52,0.05,1.39,-0.39,81,51,86,84,33,67,53,91,42
A. Pléa,Borussia M'gladbach,ATACANTE,GER1,1.6,-0.15,0.07,-0.28,-1.7,1.73,-0.65,-0.04,-0.66,93,49,56,44,16,86,28,60,37
C. Baumgartner,RB Leipzig,ATACANTE,GER1,2.97,5.68,0.86,0.18,1.92,-0.07,-0.48,1.08,-1.76,98,100,81,65,91,44,44,86,12
L. Ajorque,Mainz 05,ATACANTE,GER1,0.12,-1.39,0.85,-0.01,1.12,-0.67,-0.04,-1.08,0.15,58,26,79,56,77,40,51,12,67
K. Onisiwo,Mainz 05,ATACANTE,GER1,0.25,0.39,-1.13,-0.14,0.59,-0.19,-0.72,0.77,-1.64,72,60,12,51,70,42,26,74,16
K. Behrens,Union Berlin,ATACANTE,GER1,0.34,1.08,1.3,0.61,3.97,-1.72,0.31,-0.96,0.73,74,81,91,74,100,16,65,21,79
I. Bebou,Hoffenheim,ATACANTE,GER1,0.43,2.71,0.2,1.6,-0.25,-1.82,0.7,-0.02,-1.01,77,95,63,88,49,14,77,63,28
S. Becker,Union Berlin,ATACANTE,GER1,0.18,-1.69,0.1,2.8,-2.64,2.05,-2.2,2.28,-2.61,67,14,58,98,5,93,7,98,7
N. Füllkrug,Borussia Dortmund,ATACANTE,GER1,0.17,-1.23,1.91,1.91,0.36,1.46,0.6,-0.64,0.15,60,30,98,93,60,81,72,37,65
J. Wind,Wolfsburg,ATACANTE,GER1,-0.83,-0.92,-0.92,-2.36,0.02,0.68,1.36,-0.58,2.14,26,33,14,5,53,72,86,40,93
P. Hofmann,Bochum,ATACANTE,GER1,-0.4,-0.45,0.66,-0.44,1.86,-1.53,-0.82,-1.11,-0.22,37,47,74,40,88,21,19,9,47
L. Höler,Freiburg,ATACANTE,GER1,1.4,2.7,0.88,-0.85,1.85,0.42,0.15,-0.97,-0.24,88,93,84,26,86,60,58,19,44
M. Ducksch,Werder Bremen,ATACANTE,GER1,-1.4,-1.6,-0.59,-0.07,-1.07,1.24,0.18,-1.01,0.17,14,23,28,53,28,79,63,14,70
Adrián Riera,OFI,ATACANTE,GRE,3.46,3.61,2.59,-0.07,-1.55,0.39,0.07,2.13,-1.9,100,96,100,52,13,74,52,100,17
A. Kamara,Al Jazira,ATACANTE,GRE,0.6,-1.69,1.3,2.52,-0.67,-0.97,0.86,0.24,0.47,74,13,87,100,39,39,87,70,61
Carlitos,Lamia,ATACANTE,GRE,-0.13,-1.17,-1.11,0.68,-1.2,4.42,0.14,1.49,0.6,48,30,22,74,22,100,61,96,65
K. Aleksić,Panserraikos,ATACANTE,GRE,0.34,-0.01,1.28,2.19,1.66,-1.24,-1.53,-0.62,-0.46,57,70,83,96,91,26,17,39,43
A. Gray,Al Riyadh,ATACANTE,GRE,-2.97,-1.72,-2.54,-1.2,-0.67,-0.52,0.05,-0.91,1.28,4,9,4,17,43,57,48,22,91
Loren Morón,Aris,ATACANTE,GRE,-0.21,0.58,-0.65,0.37,-1.47,-1.02,0.73,-0.09,1.12,43,78,43,70,17,35,83,52,87
Nélson Oliveira,Konyaspor,ATACANTE,GRE,0.38,-1.52,0.36,-1.22,0.32,-0.64,-1.82,0.03,-2.26,61,26,65,13,61,48,9,61,9
Luiz Phellype,OFI,ATACANTE,GRE,-1.42,-1.66,-0.96,-2.47,1.5,-1.85,-0.44,-0.76,0.73,22,17,26,9,87,13,35,26,70
J. Barrales,Kalamata,ATACANTE,GRE,1.63,0.44,1.74,-1.07,1.92,-2.11,-2.43,-1.47,-2.39,87,74,91,22,96,4,4,4,4
João Pedro,Panetolikos FC,ATACANTE,GRE,-1.24,-0.28,-0.66,-0.83,0.58,0.24,0.39,-1.2,0.92,30,57,39,30,74,65,74,13,78
Brandon Thomas,PAOK,ATACANTE,GRE,1.03,2.12,0.8,-0.1,-0.86,-1.28,2.28,-0.69,1.06,83,91,78,48,26,22,96,35,83
C. Bakambu,Galatasaray,ATACANTE,GRE,-1.48,0.63,-1.16,0.31,0.39,0.57,3.66,-0.97,4.08,17,83,17,65,65,78,100,17,100
A. Šporar,Panathinaikos,ATACANTE,GRE,-1.63,-1.99,-0.86,-0.97,0.72,2.09,1.64,-0.53,2.33,13,4,30,26,78,87,91,43,96
Frederico Duarte,Panetolikos FC,ATACANTE,GRE,2.8,5.76,0.61,0.88,-0.78,0.24,-1.02,0.83,-1.96,96,100,70,78,30,70,22,78,13
L. García,AEK Athens,ATACANTE,GRE,0.44,-0.55,0.78,2.12,1.07,1.97,-0.19,1.45,-0.07,65,43,74,91,83,83,43,91,48
S. Zuber,AEK Athens,ATACANTE,GRE,1.71,-0.17,2.1,1.34,-1.71,3.19,0.33,0.77,-0.64,91,65,96,87,4,96,70,74,39
N. Karelis,Panetolikos FC,ATACANTE,GRE,-2.2,-0.51,-1.79,0.14,-0.7,-1.15,-0.94,-0.76,-0.71,9,48,9,61,35,30,26,30,35
N. Vergos,Atromitos,ATACANTE,GRE,-0.28,-1.55,0.18,-0.39,0.24,-0.78,-0.3,0.02,0.3,39,22,61,39,57,43,39,57,57
F. Ioannidis,Panathinaikos,ATACANTE,GRE,0.54,-0.69,-0.07,-0.18,-1.67,2.82,0.6,1.36,0.85,70,39,48,43,9,91,78,87,74
V. Mantzis,Asteras Tripolis,ATACANTE,GRE,0.64,1.95,0.05,-0.45,3.16,-0.21,-1.8,-0.28,-1.39,78,87,57,35,100,61,13,48,26
C. Bălan,PAS Giannina,ATACANTE,GRE,-1.41,-0.21,-1.16,-2.92,0.45,-2.0,0.08,-1.35,0.29,26,61,13,4,70,9,57,9,52
O. Ožegović,Kifissia,ATACANTE,GRE,-0.71,-0.97,-0.79,0.05,-0.26,-1.58,-0.55,0.11,-0.71,35,35,35,57,52,17,30,65,30
N. Dicko,OFI,ATACANTE,GRE,0.11,-0.4,-0.05,1.28,-0.47,-0.55,0.19,1.19,-1.57,52,52,52,83,48,52,65,83,22
M. Engels,Heracles,ATACANTE,HOL,-0.52,0.09,-2.05,-0.73,-0.5,-0.83,-0.48,-0.1,-1.72,35,52,6,39,45,39,35,65,23
S. Sow,Go Ahead Eagles,ATACANTE,HOL,0.7,-0.55,-0.12,0.96,-2.16,-1.72,1.66,0.52,1.17,68,39,45,77,6,19,90,81,77
F. Stokkers,Go Ahead Eagles,ATACANTE,HOL,0.65,0.42,0.74,-0.82,-0.37,-0.03,-1.89,-0.62,-1.88,65,61,81,35,52,58,13,35,19
B. Johnsen,Seoul,ATACANTE,HOL,-1.28,0.67,0.08,2.19,0.97,-1.97,0.1,-0.73,0.25,23,71,48,94,74,10,55,23,52
V. Edvardsen,Go Ahead Eagles,ATACANTE,HOL,-1.75,-1.8,-1.99,-0.42,-2.39,-0.43,-0.89,-0.35,-0.03,10,19,10,45,3,48,26,48,48
B. Białek,Eupen,ATACANTE,HOL,-1.34,-0.13,-1.24,-0.34,-1.45,-0.65,-0.46,-0.1,-1.0,19,45,23,55,23,45,39,61,35
B. Dost,NEC,ATACANTE,HOL,0.09,-1.72,2.05,1.35,1.21,1.4,0.93,-1.04,2.66,58,26,97,87,84,81,74,3,97
P. Gladon,Noah,ATACANTE,HOL,0.08,-1.19,0.65,-0.6,4.24,-1.85,-0.62,-0.69,-0.27,55,29,71,42,100,16,29,32,42
R. van La Parra,Almere City,ATACANTE,HOL,1.36,0.16,0.26,2.81,-1.62,-0.15,-2.51,2.61,-2.24,84,55,55,97,19,55,6,97,13
T. Robinet,Almere City,ATACANTE,HOL,0.51,2.49,0.37,-1.09,0.64,-1.38,-1.64,-0.84,0.31,61,90,61,19,65,26,19,13,55
G. Oristanio,Cagliari,ATACANTE,HOL,1.78,2.96,0.34,2.91,-1.18,1.03,-2.62,3.14,-3.19,94,97,58,100,29,77,3,100,3
M. Sankoh,Heracles,ATACANTE,HOL,-2.01,-1.88,-1.66,0.38,-1.4,-0.42,-0.03,-0.78,2.3,6,16,13,68,26,52,52,16,90
N. Agrafiotis,Excelsior,ATACANTE,HOL,0.72,1.06,0.65,-0.15,0.95,-0.91,0.31,-0.31,1.24,71,77,68,61,71,35,58,52,81
R. Živković,Lion City Sailors FC,ATACANTE,HOL,-0.45,1.59,-1.48,-1.08,-2.03,-1.98,-1.8,-0.88,-2.32,42,81,16,23,10,6,16,10,6
L. Dimata,Samsunspor,ATACANTE,HOL,-1.0,-2.16,-0.77,-0.91,-0.55,-0.94,1.05,-0.2,0.51,32,10,29,29,39,32,77,58,61
S. van Hooijdonk,Bologna,ATACANTE,HOL,-1.22,-2.92,-0.65,-1.96,-0.28,-2.0,0.45,-0.75,1.52,26,3,32,3,55,3,68,19,84
R. Mühren,Volendam,ATACANTE,HOL,-2.53,-1.12,-2.31,-1.38,1.0,-1.5,-0.05,-0.71,0.36,3,32,3,10,77,23,48,29,58
D. Tadić,Fenerbahçe,ATACANTE,HOL,3.59,0.62,2.92,-1.45,-1.99,6.34,0.34,0.95,-2.16,100,68,100,6,13,100,61,90,16
R. Pepi,PSV,ATACANTE,HOL,-0.3,2.53,-1.0,-1.16,-1.05,-0.81,0.41,-0.28,-1.05,45,94,26,16,32,42,65,55,32
T. Douvikas,Celta de Vigo,ATACANTE,HOL,0.0,0.37,-0.26,0.25,-0.74,0.21,1.54,0.36,2.46,52,58,42,65,35,68,87,71,94
M. Ugalde,Twente,ATACANTE,HOL,1.53,1.82,0.54,-0.35,1.14,3.29,1.34,0.39,0.99,87,87,65,52,81,97,84,74,74
B. Brobbey,Ajax,ATACANTE,HOL,-1.21,-2.46,-0.26,-0.84,-0.46,1.44,1.07,0.61,0.81,29,6,39,32,48,84,81,87,65
P. van Amersfoort,Heerenveen,ATACANTE,HOL,0.86,0.96,0.83,0.61,1.25,-1.85,-0.48,-0.48,-1.08,74,74,84,71,87,13,32,42,29
R. van Wolfswinkel,Twente,ATACANTE,HOL,0.96,3.03,0.71,-0.36,0.71,0.13,-0.24,-0.35,-0.45,81,100,74,48,68,65,45,45,39
I. Lidberg,Utrecht,ATACANTE,HOL,-0.5,-0.29,0.24,1.12,2.2,0.95,-2.34,-0.04,-1.45,39,42,52,81,90,74,10,68,26
